tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
HTF_60m_BR20_S100_T200,SHORT,2024-01-02 20:00:00+00:00,2024-01-03 01:00:00+00:00,16479.094,16537.055,16579.094,16279.094000000001,timeout,4,-57.96099999999933,-116.66199999999866
HTF_60m_BR20_S100_T200,SHORT,2024-01-03 13:00:00+00:00,2024-01-03 17:00:00+00:00,16433.229,16426.955,16533.229,16233.229,timeout,4,6.2739999999976135,11.807999999995227
HTF_60m_BR20_S100_T200,SHORT,2024-01-04 14:00:00+00:00,2024-01-04 16:00:00+00:00,16292.825,16393.325,16392.825,16092.825,stop,2,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2024-01-05 06:00:00+00:00,2024-01-05 10:00:00+00:00,16268.56,16226.28,16368.56,16068.56,timeout,4,42.279999999998836,83.81999999999768
HTF_60m_BR20_S100_T200,SHORT,2024-01-05 07:00:00+00:00,2024-01-05 11:00:00+00:00,16251.135,16229.445,16351.135,16051.135,timeout,4,21.69000000000051,42.64000000000102
HTF_60m_BR20_S100_T200,SHORT,2024-01-05 08:00:00+00:00,2024-01-05 12:00:00+00:00,16240.22,16232.75,16340.22,16040.22,timeout,4,7.469999999999345,14.19999999999869
HTF_60m_BR20_S100_T200,SHORT,2024-01-05 10:00:00+00:00,2024-01-05 14:00:00+00:00,16236.095,16312.66,16336.095,16036.095,timeout,4,-76.56500000000051,-153.87000000000103
HTF_60m_BR20_S100_T200,SHORT,2024-01-05 11:00:00+00:00,2024-01-05 14:00:00+00:00,16225.12,16325.62,16325.12,16025.12,stop,3,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2024-01-05 16:00:00+00:00,2024-01-05 17:00:00+00:00,16405.01,16304.509999999998,16305.009999999998,16605.01,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2024-01-08 15:00:00+00:00,2024-01-08 19:00:00+00:00,16472.985,16627.245,16372.985,16672.985,timeout,4,154.2599999999984,307.7799999999968
HTF_60m_BR20_S100_T200,LONG,2024-01-08 16:00:00+00:00,2024-01-08 20:00:00+00:00,16503.11,16643.135,16403.11,16703.11,timeout,4,140.02499999999782,279.3099999999956
HTF_60m_BR20_S100_T200,LONG,2024-01-08 17:00:00+00:00,2024-01-08 21:00:00+00:00,16521.28,16638.07,16421.28,16721.28,timeout,4,116.79000000000087,232.84000000000174
HTF_60m_BR20_S100_T200,LONG,2024-01-08 18:00:00+00:00,2024-01-08 23:00:00+00:00,16560.885,16629.635,16460.885,16760.885,timeout,4,68.75,136.76
HTF_60m_BR20_S100_T200,LONG,2024-01-08 19:00:00+00:00,2024-01-09 00:00:00+00:00,16585.115,16631.63,16485.115,16785.115,timeout,4,46.51499999999942,92.28999999999884
HTF_60m_BR20_S100_T200,LONG,2024-01-08 20:00:00+00:00,2024-01-09 01:00:00+00:00,16628.02,16633.45,16528.02,16828.02,timeout,4,5.430000000000291,10.120000000000582
HTF_60m_BR20_S100_T200,LONG,2024-01-08 21:00:00+00:00,2024-01-09 02:00:00+00:00,16644.935,16638.83,16544.935,16844.935,timeout,4,-6.104999999999563,-12.949999999999127
HTF_60m_BR20_S100_T200,LONG,2024-01-09 17:00:00+00:00,2024-01-09 21:00:00+00:00,16683.36,16680.045,16583.36,16883.36,timeout,4,-3.3150000000023283,-7.370000000004657
HTF_60m_BR20_S100_T200,LONG,2024-01-09 18:00:00+00:00,2024-01-09 23:00:00+00:00,16695.795,16688.62,16595.795,16895.795,timeout,4,-7.174999999999272,-15.089999999998545
HTF_60m_BR20_S100_T200,LONG,2024-01-10 10:00:00+00:00,2024-01-10 14:00:00+00:00,16749.46,16688.34,16649.46,16949.46,timeout,4,-61.11999999999898,-122.97999999999796
HTF_60m_BR20_S100_T200,LONG,2024-01-10 18:00:00+00:00,2024-01-10 23:00:00+00:00,16760.91,16813.845,16660.91,16960.91,timeout,4,52.93500000000131,105.13000000000262
HTF_60m_BR20_S100_T200,LONG,2024-01-10 19:00:00+00:00,2024-01-11 00:00:00+00:00,16773.995,16827.27,16673.995,16973.995,timeout,4,53.275000000001455,105.81000000000292
HTF_60m_BR20_S100_T200,LONG,2024-01-10 20:00:00+00:00,2024-01-11 01:00:00+00:00,16830.03,16838.065,16730.03,17030.03,timeout,4,8.034999999999854,15.329999999999709
HTF_60m_BR20_S100_T200,LONG,2024-01-11 03:00:00+00:00,2024-01-11 07:00:00+00:00,16849.34,16863.24,16749.34,17049.34,timeout,4,13.900000000001455,27.060000000002912
HTF_60m_BR20_S100_T200,LONG,2024-01-11 04:00:00+00:00,2024-01-11 08:00:00+00:00,16860.605,16895.155,16760.605,17060.605,timeout,4,34.54999999999927,68.35999999999855
HTF_60m_BR20_S100_T200,LONG,2024-01-11 09:00:00+00:00,2024-01-11 13:00:00+00:00,16896.085,16795.585,16796.085,17096.085,stop,4,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2024-01-11 16:00:00+00:00,2024-01-11 19:00:00+00:00,16714.515,16815.015,16814.515,16514.515,stop,3,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2024-01-11 17:00:00+00:00,2024-01-11 18:00:00+00:00,16632.331,16732.831,16732.331,16432.331,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2024-01-12 15:00:00+00:00,2024-01-12 19:00:00+00:00,16850.27,16811.975,16750.27,17050.27,timeout,4,-38.29500000000189,-77.33000000000378
HTF_60m_BR20_S100_T200,SHORT,2024-01-16 00:00:00+00:00,2024-01-16 04:00:00+00:00,16798.177,16759.055,16898.177,16598.177,timeout,4,39.12199999999939,77.50399999999878
HTF_60m_BR20_S100_T200,SHORT,2024-01-16 01:00:00+00:00,2024-01-16 05:00:00+00:00,16755.333,16741.227,16855.333,16555.333,timeout,4,14.105999999999767,27.471999999999536
HTF_60m_BR20_S100_T200,SHORT,2024-01-16 06:00:00+00:00,2024-01-16 10:00:00+00:00,16740.311,16709.322,16840.311,16540.311,timeout,4,30.989000000001397,61.23800000000279
HTF_60m_BR20_S100_T200,SHORT,2024-01-16 09:00:00+00:00,2024-01-16 13:00:00+00:00,16704.722,16757.355,16804.722,16504.722,timeout,4,-52.63299999999799,-106.00599999999598
HTF_60m_BR20_S100_T200,LONG,2024-01-16 16:00:00+00:00,2024-01-16 17:00:00+00:00,16880.496,16779.996,16780.496,17080.496,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2024-01-17 15:00:00+00:00,2024-01-17 16:00:00+00:00,16575.839,16676.339,16675.839,16375.839,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2024-01-18 10:00:00+00:00,2024-01-18 14:00:00+00:00,16795.6,16902.577,16695.6,16995.6,timeout,4,106.97700000000259,213.21400000000517
HTF_60m_BR20_S100_T200,LONG,2024-01-18 11:00:00+00:00,2024-01-18 15:00:00+00:00,16820.844,16925.462,16720.844,17020.844,timeout,4,104.61799999999857,208.49599999999714
HTF_60m_BR20_S100_T200,LONG,2024-01-18 12:00:00+00:00,2024-01-18 16:00:00+00:00,16870.349,16950.528,16770.349,17070.349,timeout,4,80.17900000000009,159.61800000000017
HTF_60m_BR20_S100_T200,LONG,2024-01-18 13:00:00+00:00,2024-01-18 17:00:00+00:00,16884.773,16873.594,16784.773,17084.773,timeout,4,-11.179000000000087,-23.098000000000173
HTF_60m_BR20_S100_T200,LONG,2024-01-19 00:00:00+00:00,2024-01-19 04:00:00+00:00,17024.3,17043.055,16924.3,17224.3,timeout,4,18.75500000000102,36.770000000002035
HTF_60m_BR20_S100_T200,LONG,2024-01-19 01:00:00+00:00,2024-01-19 05:00:00+00:00,17028.177,17023.478,16928.177,17228.177,timeout,4,-4.699000000000524,-10.138000000001048
HTF_60m_BR20_S100_T200,LONG,2024-01-19 03:00:00+00:00,2024-01-19 07:00:00+00:00,17044.276,17058.66,16944.276,17244.276,timeout,4,14.383999999998196,28.027999999996393
HTF_60m_BR20_S100_T200,LONG,2024-01-19 04:00:00+00:00,2024-01-19 08:00:00+00:00,17048.993,17083.766,16948.993,17248.993,timeout,4,34.77300000000105,68.8060000000021
HTF_60m_BR20_S100_T200,LONG,2024-01-19 08:00:00+00:00,2024-01-19 12:00:00+00:00,17058.978,17112.149,16958.978,17258.978,timeout,4,53.171000000002095,105.6020000000042
HTF_60m_BR20_S100_T200,LONG,2024-01-19 09:00:00+00:00,2024-01-19 13:00:00+00:00,17084.826,17094.162,16984.826,17284.826,timeout,4,9.33599999999933,17.931999999998663
HTF_60m_BR20_S100_T200,LONG,2024-01-19 10:00:00+00:00,2024-01-19 14:00:00+00:00,17101.272,17083.055,17001.272,17301.272,timeout,4,-18.217000000000553,-37.17400000000111
HTF_60m_BR20_S100_T200,LONG,2024-01-19 12:00:00+00:00,2024-01-19 16:00:00+00:00,17119.533,17139.756,17019.533,17319.533,timeout,4,20.223000000001775,39.70600000000355
HTF_60m_BR20_S100_T200,LONG,2024-01-19 17:00:00+00:00,2024-01-19 21:00:00+00:00,17141.046,17328.538,17041.046,17341.046,timeout,4,187.492000000002,374.244000000004
HTF_60m_BR20_S100_T200,LONG,2024-01-19 18:00:00+00:00,2024-01-21 23:00:00+00:00,17197.978,17357.872,17097.978,17397.978,timeout,4,159.89400000000023,319.04800000000046
HTF_60m_BR20_S100_T200,LONG,2024-01-19 19:00:00+00:00,2024-01-22 00:00:00+00:00,17267.868,17430.594,17167.868,17467.868,timeout,4,162.7260000000024,324.71200000000476
HTF_60m_BR20_S100_T200,LONG,2024-01-19 20:00:00+00:00,2024-01-22 01:00:00+00:00,17301.962,17422.239,17201.962,17501.962,timeout,4,120.27700000000186,239.81400000000372
