tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
WEEKOPEN_LONG_HOLD5d,LONG,2024-03-10 22:23:00+00:00,2024-03-18 07:42:00+00:00,17986.367,17916.45,,,timeout,7200,-69.91699999999764,-140.5739999999953
WEEKOPEN_LONG_HOLD5d,LONG,2024-03-17 22:07:00+00:00,2024-03-25 07:20:00+00:00,17848.178,18312.361,,,timeout,7200,464.1830000000009,927.6260000000018
WEEKOPEN_LONG_HOLD5d,LONG,2024-03-24 22:06:00+00:00,2024-04-02 07:21:00+00:00,18341.619,18271.672,,,timeout,7200,-69.94700000000012,-140.63400000000024
WEEKOPEN_LONG_HOLD5d,LONG,2024-03-31 22:03:00+00:00,2024-04-08 07:19:00+00:00,18317.38,18126.284,,,timeout,7200,-191.09600000000137,-382.93200000000274
WEEKOPEN_LONG_HOLD5d,LONG,2024-04-07 22:06:00+00:00,2024-04-15 07:30:00+00:00,18136.353,18089.054,,,timeout,7200,-47.29899999999907,-95.33799999999813
WEEKOPEN_LONG_HOLD5d,LONG,2024-04-14 22:07:00+00:00,2024-04-22 07:40:00+00:00,18005.217,17108.649,,,timeout,7200,-896.5679999999993,-1793.8759999999986
WEEKOPEN_LONG_HOLD5d,LONG,2024-04-21 22:08:00+00:00,2024-04-29 08:07:00+00:00,17080.255,17778.35,,,timeout,7200,698.0949999999975,1395.449999999995
WEEKOPEN_LONG_HOLD5d,LONG,2024-04-28 22:46:00+00:00,2024-05-06 08:05:00+00:00,17733.033,17900.272,,,timeout,7200,167.2390000000014,333.7380000000028
WEEKOPEN_LONG_HOLD5d,LONG,2024-05-05 22:07:00+00:00,2024-05-13 07:26:00+00:00,17928.978,18191.672,,,timeout,7200,262.6939999999995,524.647999999999
WEEKOPEN_LONG_HOLD5d,LONG,2024-05-12 22:07:00+00:00,2024-05-20 07:28:00+00:00,18143.005,18576.067,,,timeout,7200,433.0619999999981,865.3839999999961
WEEKOPEN_LONG_HOLD5d,LONG,2024-05-19 22:08:00+00:00,2024-05-27 08:36:00+00:00,18568.639,18804.044,,,timeout,7200,235.40500000000247,470.07000000000494
WEEKOPEN_LONG_HOLD5d,LONG,2024-05-26 22:08:00+00:00,2024-06-03 10:52:00+00:00,18815.295,18609.849,,,timeout,7200,-205.4459999999999,-411.63199999999983
WEEKOPEN_LONG_HOLD5d,LONG,2024-06-02 22:07:00+00:00,2024-06-10 07:26:00+00:00,18498.316,18968.711,,,timeout,7200,470.39500000000044,940.0500000000009
WEEKOPEN_LONG_HOLD5d,LONG,2024-06-09 22:07:00+00:00,2024-06-17 07:29:00+00:00,19005.022,19704.561,,,timeout,7200,699.5390000000007,1398.3380000000013
WEEKOPEN_LONG_HOLD5d,LONG,2024-06-16 22:06:00+00:00,2024-06-24 10:41:00+00:00,19671.489,19689.656,,,timeout,7200,18.166999999997643,35.59399999999528
WEEKOPEN_LONG_HOLD5d,LONG,2024-06-23 22:07:00+00:00,2024-07-01 07:26:00+00:00,19737.577,19736.635,,,timeout,7200,-0.9420000000027358,-2.6240000000054717
WEEKOPEN_LONG_HOLD5d,LONG,2024-06-30 22:06:00+00:00,2024-07-08 13:38:00+00:00,19726.005,20387.222,,,timeout,7200,661.2170000000006,1321.694000000001
WEEKOPEN_LONG_HOLD5d,LONG,2024-07-07 22:03:00+00:00,2024-07-15 07:24:00+00:00,20368.044,20418.323,,,timeout,7200,50.27899999999863,99.81799999999727
WEEKOPEN_LONG_HOLD5d,LONG,2024-07-14 22:05:00+00:00,2024-07-22 11:46:00+00:00,20334.0,19716.029,,,timeout,7200,-617.9710000000014,-1236.6820000000027
WEEKOPEN_LONG_HOLD5d,LONG,2024-07-21 22:06:00+00:00,2024-07-29 07:16:00+00:00,19590.989,19132.351,,,timeout,7200,-458.63800000000265,-918.0160000000053
WEEKOPEN_LONG_HOLD5d,LONG,2024-07-28 22:03:00+00:00,2024-08-05 07:34:00+00:00,19065.446,17627.102,,,timeout,7200,-1438.344000000001,-2877.4280000000017
WEEKOPEN_LONG_HOLD5d,LONG,2024-08-04 22:06:00+00:00,2024-08-12 07:20:00+00:00,18156.588,18511.124,,,timeout,7200,354.53600000000006,708.3320000000001
WEEKOPEN_LONG_HOLD5d,LONG,2024-08-11 22:05:00+00:00,2024-08-19 07:42:00+00:00,18555.84,19504.823,,,timeout,7200,948.9830000000002,1897.2260000000003
WEEKOPEN_LONG_HOLD5d,LONG,2024-08-18 22:03:00+00:00,2024-08-26 07:17:00+00:00,19578.573,19739.062,,,timeout,7200,160.4890000000014,320.2380000000028
WEEKOPEN_LONG_HOLD5d,LONG,2024-08-25 22:06:00+00:00,2024-09-02 07:28:00+00:00,19741.018,19472.346,,,timeout,7200,-268.67199999999866,-538.0839999999973
WEEKOPEN_LONG_HOLD5d,LONG,2024-09-01 22:06:00+00:00,2024-09-09 10:40:00+00:00,19566.272,18585.184,,,timeout,7200,-981.0879999999997,-1962.9159999999995
WEEKOPEN_LONG_HOLD5d,LONG,2024-09-08 22:06:00+00:00,2024-09-16 07:56:00+00:00,18386.268,19498.722,,,timeout,7200,1112.4540000000015,2224.1680000000033
WEEKOPEN_LONG_HOLD5d,LONG,2024-09-15 22:29:00+00:00,2024-09-23 07:37:00+00:00,19467.663,19790.361,,,timeout,7200,322.6980000000003,644.6560000000006
WEEKOPEN_LONG_HOLD5d,LONG,2024-09-22 22:06:00+00:00,2024-09-30 07:17:00+00:00,19770.838,20019.546,,,timeout,7200,248.70799999999872,496.67599999999743
WEEKOPEN_LONG_HOLD5d,LONG,2024-09-29 22:04:00+00:00,2024-10-07 07:18:00+00:00,19970.183,19978.051,,,timeout,7200,7.867999999998574,14.995999999997148
WEEKOPEN_LONG_HOLD5d,LONG,2024-10-06 22:05:00+00:00,2024-10-14 08:26:00+00:00,20049.484,20302.351,,,timeout,7200,252.86699999999837,504.99399999999673
WEEKOPEN_LONG_HOLD5d,LONG,2024-10-13 22:07:00+00:00,2024-10-21 07:17:00+00:00,20238.317,20288.24,,,timeout,7200,49.9230000000025,99.10600000000501
WEEKOPEN_LONG_HOLD5d,LONG,2024-10-20 22:05:00+00:00,2024-10-28 07:27:00+00:00,20346.134,20496.683,,,timeout,7200,150.5490000000027,300.3580000000054
WEEKOPEN_LONG_HOLD5d,LONG,2024-10-27 22:06:00+00:00,2024-11-04 08:20:00+00:00,20457.716,20077.95,,,timeout,7200,-379.7659999999996,-760.2719999999993
WEEKOPEN_LONG_HOLD5d,LONG,2025-03-09 22:04:00+00:00,2025-03-17 07:21:00+00:00,20077.073,19551.234,,,timeout,7200,-525.8389999999999,-1052.418
WEEKOPEN_LONG_HOLD5d,LONG,2025-03-16 22:07:00+00:00,2025-03-24 07:25:00+00:00,19617.86,19968.861,,,timeout,7200,351.0010000000002,701.2620000000004
WEEKOPEN_LONG_HOLD5d,LONG,2025-03-23 22:06:00+00:00,2025-03-31 07:18:00+00:00,19881.187,19036.982,,,timeout,7200,-844.2050000000017,-1689.1500000000035
WEEKOPEN_LONG_HOLD5d,LONG,2025-03-30 22:04:00+00:00,2025-04-07 07:22:00+00:00,19116.078,16489.883,,,timeout,7200,-2626.1949999999997,-5253.129999999999
WEEKOPEN_LONG_HOLD5d,LONG,2025-04-06 22:09:00+00:00,2025-04-14 07:16:00+00:00,16540.195,18958.673,,,timeout,7200,2418.477999999999,4836.2159999999985
WEEKOPEN_LONG_HOLD5d,LONG,2025-04-13 22:05:00+00:00,2025-04-22 07:22:00+00:00,18912.305,17979.673,,,timeout,7200,-932.6320000000014,-1866.0040000000029
WEEKOPEN_LONG_HOLD5d,LONG,2025-04-20 22:05:00+00:00,2025-04-28 07:10:00+00:00,18172.012,19391.334,,,timeout,7200,1219.3220000000001,2437.9040000000005
WEEKOPEN_LONG_HOLD5d,LONG,2025-04-27 22:03:00+00:00,2025-05-05 07:12:00+00:00,19369.306,19970.245,,,timeout,7200,600.9389999999985,1201.137999999997
WEEKOPEN_LONG_HOLD5d,LONG,2025-05-04 22:06:00+00:00,2025-05-12 07:21:00+00:00,20049.016,20789.878,,,timeout,7200,740.862000000001,1480.984000000002
WEEKOPEN_LONG_HOLD5d,LONG,2025-05-11 22:06:00+00:00,2025-05-19 07:18:00+00:00,20333.696,21117.561,,,timeout,7200,783.8650000000016,1566.9900000000032
WEEKOPEN_LONG_HOLD5d,LONG,2025-05-18 22:04:00+00:00,2025-05-26 07:18:00+00:00,21271.684,21191.834,,,timeout,7200,-79.85000000000218,-160.44000000000437
WEEKOPEN_LONG_HOLD5d,LONG,2025-05-25 22:07:00+00:00,2025-06-02 11:31:00+00:00,20979.4,21237.194,,,timeout,7200,257.79399999999805,514.8479999999961
WEEKOPEN_LONG_HOLD5d,LONG,2025-06-01 22:06:00+00:00,2025-06-09 07:23:00+00:00,21264.349,21724.595,,,timeout,7200,460.2460000000028,919.7520000000056
WEEKOPEN_LONG_HOLD5d,LONG,2025-06-08 22:03:00+00:00,2025-06-16 07:18:00+00:00,21775.801,21750.221,,,timeout,7200,-25.57999999999811,-51.89999999999622
