hold_d,pnl,per_day,wr,dd
1,17077.641999999963,208.26392682926786,0.7195121951219512,-1805.352000000002
2,23246.410000000018,283.492804878049,0.7195121951219512,-2311.069999999978
3,33610.921999999984,409.8892926829266,0.6951219512195121,-2476.2559999999976
4,31539.093999999975,384.62309756097534,0.6829268292682927,-4108.822000000011
5,32319.393999999997,394.13895121951214,0.6585365853658537,-8376.083999999995
7,52957.54199999997,653.7968148148145,0.6829268292682927,-5179.628000000004
10,73039.69400000002,901.7246172839508,0.7560975609756098,-7900.850000000006
14,88504.71,1106.3088750000002,0.7560975609756098,-12032.016000000003
21,136095.03799999997,1744.8081794871791,0.7926829268292683,-9431.206000000006
28,187100.06,2429.870909090909,0.8048780487804879,-10733.680000000013
