name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,mar_usd_wk,mar_worst,mar_pos
A_PFLOW_off2.0_t30,603.0,60.9,1350.0,58.2,23.18,-136.0,575.0,-1318.0,59
A_PFLOW_off4.0_t30,603.0,60.4,990.0,57.8,17.15,94.0,496.0,-966.0,65
A_PFLOW_off4.0_t15,417.0,103.3,827.0,99.5,8.31,-650.0,400.0,-735.0,59
B_REQUOTE_2+2_t15,352.0,104.9,1262.0,100.5,12.56,-126.0,651.0,-666.0,71
B_REQUOTE_1+1_t15,217.0,106.9,1344.0,101.5,13.24,-163.0,593.0,-1057.0,65
D_SLOW_t15,203.0,104.4,892.0,97.8,9.13,-777.0,494.0,-1151.0,65
A_PFLOW_off2.0_t15,172.0,107.8,386.0,101.8,3.79,-1050.0,131.0,-1252.0,47
G_ANTITREND_t15,148.0,79.4,658.0,75.8,8.69,-1628.0,433.0,-1628.0,59
F_NEWS_a1.5_t15,104.0,17.7,-149.0,17.0,-8.74,-646.0,-22.0,-646.0,35
C_CLIMAX_t30,91.0,9.3,-228.0,8.0,-28.45,-578.0,-21.0,-864.0,47
F_NEWS_a1.0_t15,50.0,18.6,2.0,17.8,0.08,-310.0,-8.0,-696.0,53
G_TRENDPULL_t30,38.0,37.2,147.0,35.8,4.1,-697.0,46.0,-1198.0,47
F_NEWS_a1.5_t30,25.0,9.3,146.0,9.0,16.17,-1001.0,2.0,-1001.0,53
C_CLIMAX_t10,9.0,10.3,80.0,8.0,9.97,-830.0,22.0,-830.0,59
I_STRUCTX_t30,3.0,86.7,-912.0,83.8,-10.89,-1953.0,-2.0,-1953.0,59
F_NEWS_a1.0_t30,-6.0,9.3,12.0,9.0,1.39,-1088.0,-15.0,-1088.0,47
C_CLIMAX_t15,-12.0,10.1,-87.0,8.0,-10.89,-800.0,-36.0,-800.0,41
D_SPEED_t30,-20.0,47.2,-351.0,44.8,-7.85,-1401.0,75.0,-1963.0,59
H_SWEEP_t60,-26.0,22.6,298.0,22.5,13.23,-2469.0,207.0,-2469.0,53
J_IBS30_t30,-30.0,5.3,-281.0,9.8,-28.83,-1291.0,-60.0,-1291.0,47
J_IBS30_t15,-39.0,5.3,94.0,10.8,8.76,-108.0,19.0,-288.0,53
I_STRUCTX_t15,-66.0,131.8,-530.0,126.0,-4.21,-1146.0,-95.0,-1501.0,41
H_SWEEP_t15,-82.0,44.2,-108.0,46.0,-2.35,-1492.0,-131.0,-1492.0,41
E_WAVE2_t30,-101.0,26.8,-688.0,28.0,-24.58,-1940.0,-172.0,-1940.0,47
E_WAVE2_t15,-106.0,33.4,-569.0,35.5,-16.04,-926.0,-200.0,-926.0,29
H_SWEEP_t30,-204.0,33.1,-112.0,34.5,-3.24,-562.0,-43.0,-880.0,47
G_TRENDPULL_t15,-219.0,51.3,201.0,49.8,4.04,-892.0,-167.0,-1001.0,41
G_TRENDPULL_t60,-228.0,24.0,460.0,23.8,19.39,-118.0,-67.0,-1414.0,47
D_SPEED_t15,-313.0,70.4,-456.0,68.8,-6.64,-1708.0,-150.0,-1708.0,47
