name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,mar_usd_wk,mar_worst,mar_pos
skip30_a0.8_off2.0_t30,846.0,60.2,375.0,58.0,6.46,-1342.0,733.0,-1342.0,88
skip30_a0.8_off1.0_t30,734.0,60.7,74.0,58.0,1.27,-1770.0,581.0,-1770.0,88
rth_a0.8_off2.0_t30,529.0,64.7,892.0,62.0,14.39,289.0,782.0,-756.0,94
rth_a0.8_off1.0_t30,515.0,65.0,558.0,62.2,8.96,-90.0,694.0,-1126.0,82
skip30_a1.0_off1.0_t30,490.0,59.6,163.0,57.2,2.85,-476.0,402.0,-852.0,53
skip30_a1.0_off2.0_t30,490.0,59.2,236.0,57.0,4.15,-562.0,450.0,-587.0,59
skip30_a1.0_off1.0_t15,470.0,110.7,704.0,104.2,6.75,-318.0,400.0,-968.0,59
skip30_a0.8_off1.0_t20,443.0,87.8,776.0,83.0,9.35,-1178.0,705.0,-1178.0,76
skip30_a1.2_off1.0_t30,438.0,58.4,-15.0,55.5,-0.27,-482.0,367.0,-1182.0,53
skip30_a1.2_off1.0_t15_dstop500,400.0,103.4,1044.0,86.2,12.11,-264.0,680.0,-360.0,82
skip30_a1.2_off1.0_t15,357.0,107.0,1328.0,101.2,13.11,-264.0,727.0,-342.0,76
rth_a1.2_off1.0_t30,326.0,62.9,285.0,59.8,4.77,-116.0,406.0,-1415.0,65
skip30_a1.0_off1.0_t20,279.0,86.1,888.0,81.5,10.89,-1229.0,556.0,-1229.0,71
skip30_a1.2_off2.0_t15,277.0,104.2,1544.0,100.5,15.36,-88.0,670.0,-979.0,71
skip30_a1.2_off1.0_t15_dstop300,254.0,91.1,250.0,65.5,3.82,-1369.0,437.0,-1369.0,71
rth_a1.0_off1.0_t15,252.0,118.7,327.0,111.8,2.93,-1558.0,312.0,-1558.0,53
rth_a0.8_off2.0_t10,241.0,167.9,-118.0,160.5,-0.73,-1350.0,67.0,-2034.0,47
rth_a1.2_off1.0_t20,206.0,89.8,165.0,85.8,1.92,-888.0,456.0,-1085.0,65
skip30_a1.2_off1.0_t20,199.0,83.8,-44.0,79.5,-0.55,-1592.0,256.0,-1592.0,65
skip30_a1.2_off2.0_t30,194.0,57.8,76.0,55.5,1.37,-474.0,274.0,-866.0,65
rth_a1.0_off2.0_t30,183.0,63.4,905.0,60.8,14.9,272.0,502.0,-1275.0,71
skip30_a1.0_off2.0_t20,159.0,84.9,621.0,80.5,7.72,-1704.0,469.0,-1704.0,71
rth_a1.0_off1.0_t30,151.0,64.1,919.0,61.0,15.07,222.0,458.0,-1389.0,59
rth_a1.2_off1.0_t15,145.0,114.9,1011.0,108.5,9.32,-138.0,603.0,-718.0,71
skip30_a0.8_off2.0_t20,129.0,86.7,894.0,82.5,10.84,-1152.0,610.0,-1152.0,76
rth_a1.2_off2.0_t15,104.0,112.1,1284.0,107.5,11.95,-10.0,608.0,-1384.0,65
skip30_a1.0_off2.0_t15,70.0,108.1,874.0,103.2,8.47,-150.0,208.0,-1135.0,53
rth_a1.0_off2.0_t10,64.0,160.3,235.0,155.0,1.52,-942.0,136.0,-1444.0,53
rth_a1.2_off2.0_t30,64.0,62.1,498.0,59.8,8.33,128.0,293.0,-1259.0,65
skip30_a1.2_off1.0_t15_streak3,60.0,46.2,684.0,45.5,15.04,-141.0,350.0,-441.0,65
skip30_a1.2_off2.0_t20,32.0,82.6,-249.0,78.8,-3.16,-1510.0,153.0,-1712.0,65
rth_a1.2_off2.0_t10,18.0,152.7,-349.0,149.8,-2.33,-2071.0,-161.0,-2071.0,41
rth_a0.8_off1.0_t10,-7.0,171.2,174.0,162.5,1.07,-1456.0,32.0,-1686.0,53
skip30_a0.8_off2.0_t10,-8.0,155.1,526.0,149.2,3.52,-1142.0,122.0,-1655.0,47
rth_a0.8_off2.0_t15,-17.0,118.8,419.0,114.2,3.67,-1335.0,382.0,-1335.0,71
skip30_a1.0_off2.0_t10,-31.0,148.2,505.0,143.5,3.52,-758.0,80.0,-1498.0,53
rth_a1.0_off1.0_t10,-32.0,164.1,706.0,157.8,4.48,-1274.0,207.0,-1274.0,53
rth_a1.2_off2.0_t20,-49.0,88.7,642.0,84.8,7.58,-669.0,349.0,-1620.0,59
rth_a1.0_off2.0_t15,-57.0,116.2,518.0,111.0,4.66,-1356.0,173.0,-1356.0,53
skip30_a0.8_off2.0_t15,-66.0,110.8,611.0,106.5,5.74,-740.0,284.0,-1344.0,53
skip30_a0.8_off1.0_t15,-68.0,113.3,319.0,108.0,2.95,-436.0,125.0,-1817.0,41
rth_a0.8_off1.0_t15,-77.0,121.2,370.0,116.0,3.19,-1306.0,295.0,-1714.0,53
eu_a1.2_off1.0_t15,-81.0,103.9,360.0,72.2,4.98,-363.0,39.0,-1078.0,53
skip30_a1.0_off1.0_t10,-96.0,152.2,-34.0,146.5,-0.23,-1784.0,-83.0,-1784.0,47
skip30_a1.2_off2.0_t10,-134.0,140.7,194.0,138.8,1.4,-1420.0,-150.0,-1420.0,47
eu_a1.0_off1.0_t15,-146.0,107.4,708.0,75.0,9.43,-448.0,143.0,-1216.0,53
rth_a1.2_off1.0_t10,-176.0,157.2,-358.0,152.8,-2.35,-2540.0,-228.0,-2540.0,41
rth_a1.0_off2.0_t20,-191.0,90.7,73.0,87.8,0.83,-641.0,114.0,-1025.0,65
rth_a0.8_off1.0_t20,-208.0,94.1,-1250.0,89.0,-14.04,-3418.0,-158.0,-3418.0,47
rth_a1.0_off1.0_t20,-228.0,91.9,-206.0,88.0,-2.34,-791.0,182.0,-1240.0,53
skip30_a0.8_off1.0_t10,-251.0,158.6,18.0,151.0,0.12,-1572.0,-121.0,-1604.0,41
rth_a0.8_off2.0_t20,-309.0,93.4,-1118.0,88.8,-12.6,-2906.0,-138.0,-2906.0,47
skip30_a1.2_off1.0_t10,-341.0,145.1,-186.0,142.0,-1.31,-1844.0,-278.0,-1844.0,35
globex_a1.2_off1.0_t15,-478.0,139.6,-258.0,98.5,-2.62,-996.0,-382.0,-2021.0,35
globex_a1.0_off1.0_t15,-681.0,144.8,-458.0,101.7,-4.51,-1086.0,-586.0,-1869.0,30
