name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,mar_usd_wk,mar_worst,mar_pos
E_RETAILB_t30,388.0,59.8,469.0,57.0,8.23,-1285.0,263.0,-1285.0,53
B_PFADE_k20_t60,379.0,32.1,-418.0,30.0,-13.94,-1712.0,270.0,-1712.0,53
A_UNION_k102030_t20,329.0,91.0,387.0,85.2,4.54,-1166.0,320.0,-1319.0,65
H_HOURMAP_t15,327.0,80.0,767.0,77.0,9.96,-578.0,520.0,-1054.0,76
A_UNION_k1020_t15,295.0,114.7,73.0,108.2,0.67,-420.0,328.0,-1550.0,59
D_QUIETB_t60,295.0,2.5,113.0,2.3,48.43,-163.0,237.0,-478.0,88
D_QUIETB_t30,212.0,2.5,-10.0,2.3,-4.36,-118.0,196.0,-154.0,75
A_UNION_k102030_t15,196.0,117.0,-578.0,111.5,-5.18,-1424.0,97.0,-1598.0,53
C_PERSF_N5_t30,175.0,36.9,-587.0,34.8,-16.89,-1380.0,-128.0,-1380.0,53
G_CHOPPYDAY_t15,165.0,63.0,842.0,55.5,15.16,-599.0,396.0,-599.0,47
C_PERSF_N8_t30,145.0,10.8,-6.0,7.2,-0.9,-641.0,92.0,-828.0,53
E_INSTB_t15,131.0,31.7,125.0,25.2,4.95,-422.0,-11.0,-891.0,47
C_PERSF_N8_t15,105.0,11.4,-23.0,8.2,-2.76,-202.0,48.0,-342.0,41
E_INSTB_t30,104.0,25.9,353.0,19.5,18.12,12.0,48.0,-758.0,53
B_PFADE_k20_t30,100.0,58.0,112.0,55.0,2.05,-608.0,192.0,-626.0,47
B_PFADE_k30_t60,73.0,31.9,92.0,30.2,3.04,-1364.0,427.0,-1364.0,65
D_QUIETB_t15,47.0,2.5,-168.0,2.3,-72.07,-381.0,28.0,-381.0,62
F_EUCLOSE_t60,19.0,4.7,196.0,4.5,43.56,-548.0,53.0,-548.0,53
G_TRENDYDAY_t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
F_USCLOSE_t30,-29.0,4.6,8.0,4.2,1.94,-334.0,-25.0,-410.0,35
F_USCLOSE_t60,-38.0,4.6,-181.0,4.2,-42.68,-872.0,-29.0,-872.0,41
F_EUCLOSE_t30,-73.0,9.3,-20.0,9.0,-2.24,-333.0,-64.0,-665.0,41
C_PERSF_N5_t15,-77.0,50.6,285.0,47.5,6.0,-466.0,76.0,-681.0,59
C_PERSBRK_N8_t15,-151.0,10.9,13.0,8.2,1.55,-552.0,-64.0,-552.0,47
C_PERSBRK_N5_t15,-384.0,49.8,-147.0,45.8,-3.22,-916.0,-242.0,-1164.0,41
B_PFADE_k30_t30,-501.0,56.7,-58.0,55.0,-1.06,-856.0,-234.0,-1416.0,29
