name,sel_usd_wk,sel_tr_wk,sel_per,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
C_PAIRZ_30m_z2.0_t15,457.0,86.1,5.3,-962.0,77.3,-12.44,-1714.0,33
C_PAIRZ_30m_z2.0_t30,396.0,54.7,7.25,-627.0,50.3,-12.46,-1376.0,33
C_PAIRZ_60m_z2.0_t15,383.0,63.1,6.07,-918.0,56.0,-16.39,-3251.0,33
C_PAIRZ_60m_z3.0_t30,337.0,18.3,18.4,312.0,16.7,18.75,7.0,100
C_PAIRZ_60m_z2.0_t5,305.0,125.6,2.43,-268.0,113.3,-2.36,-1040.0,33
C_PAIRZ_60m_z2.0_t30,220.0,41.4,5.3,-88.0,37.3,-2.35,-1632.0,67
C_PAIRZ_60m_z3.0_t15,218.0,22.2,9.82,6.0,19.7,0.33,-714.0,67
C_PAIRZ_30m_z3.0_t30,157.0,31.1,5.06,-173.0,28.7,-6.02,-1018.0,33
C_PAIRZ_60m_z3.0_t5,149.0,34.0,4.37,321.0,30.3,10.58,-110.0,67
B_CATCH_15s_t5,83.0,1.0,82.75,204.0,1.3,153.25,-166.0,67
A_LEAD_60s_t1,9.0,4.7,1.87,18.0,2.7,6.56,-85.0,67
C_PAIRZ_30m_z3.0_t15,4.0,35.6,0.11,-614.0,34.3,-17.88,-2118.0,33
B_CATCH_15s_t15,2.0,1.0,2.5,0.0,1.3,0.25,-294.0,67
B_CATCH_60s_t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_CATCH_60s_t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_CATCH_60s_t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_LEAD_15s_t5,-7.0,25.6,-0.28,669.0,16.7,40.16,-548.0,67
B_CATCH_15s_t1,-8.0,1.0,-7.75,109.0,1.3,81.62,42.0,100
C_PAIRZ_30m_z3.0_t5,-8.0,45.7,-0.16,133.0,42.7,3.11,-522.0,67
A_LEAD_60s_t5,-21.0,4.7,-4.55,138.0,2.7,51.69,-114.0,33
D_NONCONF_t30,-28.0,46.7,-0.6,396.0,47.0,8.41,-868.0,67
A_LEAD_60s_t15,-62.0,4.6,-13.67,67.0,2.7,25.25,-106.0,67
D_NONCONF_t15,-63.0,68.8,-0.92,600.0,71.3,8.42,-632.0,67
A_LEAD_15s_t15,-115.0,23.0,-5.01,483.0,15.3,31.51,-502.0,33
A_LEAD_15s_t1,-128.0,27.1,-4.72,253.0,17.3,14.62,-66.0,67
C_PAIRZ_30m_z2.0_t5,-175.0,165.8,-1.05,-1120.0,147.0,-7.62,-2884.0,33
E_ESFADE_t30,-182.0,52.0,-3.5,-391.0,47.7,-8.2,-1074.0,33
E_ESFADE_t15,-212.0,79.4,-2.67,836.0,73.0,11.45,587.0,100
A_LEAD_5s_t5,-267.0,63.4,-4.2,539.0,47.3,11.39,-617.0,67
A_LEAD_5s_t1,-311.0,71.9,-4.32,140.0,51.7,2.72,-470.0,67
A_LEAD_5s_t15,-373.0,48.4,-7.71,270.0,38.7,6.99,-1150.0,33
D_NONCONF_t5,-412.0,109.3,-3.76,-824.0,107.7,-7.66,-1742.0,0
