name,sel_usd_wk,sel_tr_wk,sel_per,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
C_BONDDIV_t60,386.0,20.2,19.11,-686.0,9.0,-76.26,-1393.0,0
B_GCSPKrisk_M3.0_t15,286.0,32.7,8.76,92.0,23.0,3.98,-1297.0,67
D_GATEriskon_t30,247.0,7.3,33.67,286.0,3.7,78.14,-196.0,67
A_RISKOFF_M2.0_t15,217.0,41.6,5.22,-168.0,14.7,-11.42,-590.0,33
D_GATEriskon_t15,171.0,9.0,18.99,106.0,3.7,28.77,-488.0,67
C_BONDDIV_t15,163.0,37.7,4.32,-164.0,13.7,-11.98,-783.0,33
B_GCSPKrisk_M3.0_t30,141.0,26.2,5.39,36.0,18.7,1.91,-1834.0,67
A_RISKOFF_M2.0_t60,118.0,22.7,5.2,-382.0,11.3,-33.74,-793.0,33
D_GATEriskoff_t30,118.0,7.6,15.55,410.0,9.3,43.88,-170.0,67
A_RISKOFF_M4.0_t60,54.0,5.8,9.3,-347.0,8.0,-43.33,-905.0,33
A_RISKOFF_M2.0_t30,43.0,32.0,1.34,-266.0,13.0,-20.47,-522.0,33
A_RISKOFF_M4.0_t15,41.0,6.1,6.65,-129.0,8.3,-15.48,-384.0,33
C_BONDDIV_t30,40.0,27.3,1.48,-199.0,10.0,-19.92,-636.0,33
B_GCSPKrisk_M5.0_t30,11.0,8.7,1.29,297.0,16.3,18.17,-1374.0,67
A_RISKOFF_M4.0_t30,0.0,5.9,0.02,-56.0,8.3,-6.72,-316.0,33
B_GCSPKmom_M5.0_t15,-10.0,9.9,-1.05,-24.0,18.7,-1.28,-1058.0,67
B_GCSPKrisk_M5.0_t15,-39.0,9.9,-3.95,-70.0,18.7,-3.72,-1064.0,33
B_GCSPKmom_M5.0_t30,-55.0,8.7,-6.29,-378.0,16.3,-23.17,-2248.0,33
B_GCSPKmom_M3.0_t30,-272.0,26.2,-10.39,-129.0,18.7,-6.91,-2044.0,33
B_GCSPKmom_M3.0_t15,-449.0,32.7,-13.76,-206.0,23.0,-8.98,-1554.0,33
