month,pick,meta,FADE,FLOW,AUCT
2023-09,FLAT,0.0,-592.0,863.0,-488.0
2023-10,FLAT,0.0,-3205.0,-2477.0,736.0
2023-11,AUCT,-708.0,-569.0,-1546.0,-708.0
2023-12,AUCT,1256.0,-1919.0,-330.0,1256.0
2024-01,AUCT,501.0,-1089.0,678.0,501.0
2024-02,AUCT,653.0,-2170.0,-2846.0,653.0
2024-03,AUCT,270.0,-198.0,372.0,270.0
2024-04,AUCT,-950.0,-2184.0,-614.0,-950.0
2024-05,FLAT,0.0,-2681.0,-1179.0,-168.0
2024-06,FLAT,0.0,58.0,-1204.0,1049.0
2024-07,AUCT,-614.0,-567.0,-343.0,-614.0
2024-08,AUCT,-1204.0,-1222.0,436.0,-1204.0
2024-09,FLOW,226.0,-1663.0,226.0,-1648.0
2024-10,FLOW,1244.0,-1700.0,1244.0,-111.0
2024-11,FLOW,-880.0,24.0,-880.0,237.0
2024-12,FLOW,-1609.0,-3152.0,-1609.0,-2032.0
2025-01,FLAT,0.0,666.0,-564.0,351.0
2025-02,FLAT,0.0,-2984.0,-2369.0,-208.0
2025-03,AUCT,740.0,304.0,672.0,740.0
2025-04,AUCT,-2074.0,2446.0,-1062.0,-2074.0
2025-05,FADE,-1328.0,-1328.0,-2711.0,1110.0
2025-06,FADE,-2434.0,-2434.0,-1288.0,241.0
2025-07,AUCT,-654.0,-1126.0,-820.0,-654.0
2025-08,FLAT,0.0,-3345.0,-2070.0,-1636.0
2025-09,FLAT,0.0,-1661.0,-288.0,-600.0
2025-10,FLAT,0.0,-1078.0,1579.0,-825.0
2025-11,FLOW,-1616.0,-3660.0,-1616.0,3316.0
2025-12,AUCT,161.0,-1334.0,33.0,161.0
2026-01,AUCT,-100.0,2340.0,-156.0,-100.0
2026-02,FADE,-527.0,-527.0,-3646.0,943.0
2026-03,FADE,3318.0,3318.0,2312.0,-1918.0
2026-04,FADE,1873.0,1873.0,72.0,1418.0
2026-05,FADE,1642.0,1642.0,-1066.0,-902.0
2026-06,FADE,4185.0,4185.0,-1445.0,-2664.0
