name,sel_usd_wk,sel_tr_wk,sel_per,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
C_PAIRZ_30m_z2.0_t30,402.0,58.3,6.9,-310.0,42.6,-7.27,-826.0,20
C_PAIRZ_60m_z2.0_t15,385.0,80.3,4.79,-168.0,52.2,-3.21,-2254.0,40
E_ESFADE_t15,312.0,83.9,3.72,325.0,56.6,5.74,-1459.0,60
C_PAIRZ_60m_z3.0_t15,209.0,33.1,6.32,286.0,17.8,16.04,-318.0,40
C_PAIRZ_60m_z2.0_t30,206.0,49.6,4.16,-65.0,33.4,-1.94,-694.0,20
C_PAIRZ_60m_z3.0_t30,182.0,26.0,6.99,369.0,15.0,24.6,-2.0,80
C_PAIRZ_30m_z3.0_t15,176.0,44.6,3.95,-292.0,30.2,-9.67,-934.0,20
C_PAIRZ_30m_z2.0_t15,154.0,97.7,1.58,-2.0,68.6,-0.03,-1594.0,60
C_PAIRZ_60m_z3.0_t5,74.0,49.2,1.49,283.0,28.4,9.96,-2.0,80
C_PAIRZ_30m_z3.0_t5,73.0,61.1,1.19,28.0,38.4,0.73,-257.0,20
C_PAIRZ_30m_z3.0_t30,72.0,36.1,1.98,-131.0,26.0,-5.05,-1290.0,40
B_CATCH_60s_t5,24.0,1.2,19.1,-2.0,1.0,-2.5,-2.0,0
B_CATCH_60s_t1,15.0,1.2,12.0,-2.0,1.0,-2.5,-2.0,0
B_CATCH_60s_t15,-5.0,1.2,-3.9,-2.0,1.0,-2.5,-2.0,0
A_LEAD_60s_t1,-12.0,3.8,-3.24,-4.0,2.2,-1.89,-85.0,25
A_LEAD_60s_t5,-26.0,3.8,-6.79,105.0,2.2,46.67,-114.0,50
A_LEAD_60s_t15,-78.0,3.8,-20.53,89.0,2.2,39.61,-106.0,25
C_PAIRZ_60m_z2.0_t5,-160.0,163.7,-0.98,-85.0,104.6,-0.81,-1730.0,40
B_CATCH_15s_t1,-164.0,99.1,-1.66,116.0,13.5,8.56,-2.0,75
D_NONCONF_t15,-181.0,72.6,-2.5,455.0,59.6,7.63,-433.0,60
B_CATCH_15s_t5,-188.0,89.1,-2.11,170.0,12.8,13.32,-2.0,75
D_NONCONF_t30,-220.0,48.2,-4.57,641.0,39.2,16.35,-405.0,60
B_CATCH_15s_t15,-229.0,59.2,-3.86,156.0,10.5,14.82,-98.0,50
A_LEAD_5s_t15,-230.0,113.1,-2.04,-647.0,46.4,-13.95,-1965.0,20
C_PAIRZ_30m_z2.0_t5,-235.0,196.6,-1.2,-588.0,134.6,-4.37,-3366.0,40
E_ESFADE_t30,-253.0,53.9,-4.7,-347.0,38.6,-8.99,-1116.0,0
A_LEAD_15s_t5,-274.0,109.4,-2.5,332.0,22.6,14.71,-155.0,60
A_LEAD_15s_t15,-281.0,71.1,-3.95,96.0,17.8,5.42,-494.0,20
A_LEAD_15s_t1,-305.0,124.6,-2.45,232.0,23.8,9.74,-62.0,60
A_LEAD_5s_t5,-355.0,242.6,-1.46,126.0,79.2,1.59,-868.0,20
D_NONCONF_t5,-511.0,119.0,-4.3,-368.0,95.8,-3.84,-1012.0,0
A_LEAD_5s_t1,-1012.0,404.7,-2.5,158.0,109.4,1.44,-409.0,20
