,pnl
2026-04-01 13:59:00.103242109+00:00,-91.5
2026-04-01 14:15:00.080825757+00:00,-82.5
2026-04-01 15:20:00.095163327+00:00,29.0
2026-04-01 15:36:00.312694005+00:00,-4.5
2026-04-01 15:52:00.798597043+00:00,15.5
2026-04-01 16:09:00.816369861+00:00,20.0
2026-04-01 16:25:00.117003659+00:00,-29.0
2026-04-01 16:41:00.650736887+00:00,0.5
2026-04-01 17:02:00.177378841+00:00,-0.5
2026-04-01 17:22:00.081824917+00:00,-8.0
2026-04-01 17:50:00.166177693+00:00,-9.0
2026-04-01 18:19:00.198012363+00:00,-79.5
2026-04-01 18:35:00.070086433+00:00,-87.5
2026-04-01 20:35:00.632892931+00:00,-34.0
2026-04-02 13:52:00.071975355+00:00,116.5
2026-04-02 14:09:00.065929041+00:00,-214.0
2026-04-02 14:26:00.151325631+00:00,-53.5
2026-04-02 14:51:00.089342965+00:00,-62.0
2026-04-02 17:16:00.100842087+00:00,-116.0
2026-04-02 17:32:00.110216835+00:00,-16.5
2026-04-02 17:51:00.105779119+00:00,105.0
2026-04-02 18:07:00.302464825+00:00,-129.5
2026-04-02 20:15:00.137606249+00:00,16.0
2026-04-02 20:42:00.528398205+00:00,-3.5
2026-04-06 13:52:00.119464893+00:00,286.5
2026-04-06 14:08:00.125162069+00:00,-192.5
2026-04-06 14:24:00.125287007+00:00,164.5
2026-04-06 14:54:00.458567425+00:00,-14.5
2026-04-06 16:41:00.204082899+00:00,24.0
2026-04-06 20:51:01.316917137+00:00,-21.5
2026-04-07 13:52:00.104247087+00:00,-166.5
2026-04-07 14:08:00.065276693+00:00,-329.0
2026-04-07 14:24:00.067938611+00:00,240.0
2026-04-07 14:54:00.143290105+00:00,-74.0
2026-04-07 15:14:00.822435453+00:00,-53.0
2026-04-07 16:35:00.155214069+00:00,84.0
2026-04-07 16:51:00.866466175+00:00,48.5
2026-04-07 19:14:00.899781245+00:00,49.0
2026-04-08 13:56:00.164808393+00:00,56.5
2026-04-08 14:58:00.124105519+00:00,-168.5
2026-04-08 15:24:00.186828577+00:00,18.5
2026-04-08 16:43:00.239706009+00:00,80.0
2026-04-08 17:43:00.308588107+00:00,13.0
2026-04-08 18:37:00.129178815+00:00,5.0
2026-04-08 18:55:00.109675549+00:00,-102.0
2026-04-08 19:12:00.096235105+00:00,54.0
2026-04-09 13:54:00.089211431+00:00,-70.5
2026-04-09 14:35:00.234227045+00:00,20.0
2026-04-09 15:28:00.072177773+00:00,-8.5
2026-04-09 16:18:00.195151263+00:00,2.5
2026-04-09 17:24:00.139403441+00:00,-18.0
2026-04-09 17:51:00.276464429+00:00,-3.5
2026-04-10 13:53:00.159298559+00:00,-32.5
