,pnl
2026-04-01 15:12:00.176844813+00:00,-43.5
2026-04-01 16:40:00.075514969+00:00,-3.5
2026-04-01 18:17:00.103521389+00:00,-90.0
2026-04-01 18:34:00.616179933+00:00,-83.0
2026-04-01 20:43:00.878103301+00:00,15.5
2026-04-02 14:03:00.103559959+00:00,-199.5
2026-04-02 14:51:00.089342965+00:00,-62.0
2026-04-02 16:48:00.101159801+00:00,42.0
2026-04-02 17:16:00.100842087+00:00,-116.0
2026-04-02 19:23:00.067972883+00:00,-18.0
2026-04-06 13:55:00.074942367+00:00,170.5
2026-04-06 14:11:00.145723859+00:00,-162.0
2026-04-06 14:31:00.132371607+00:00,22.0
2026-04-06 19:21:03.412036333+00:00,13.0
2026-04-07 13:52:00.104247087+00:00,-166.5
2026-04-07 14:44:00.085865069+00:00,-40.5
2026-04-08 13:53:00.080878299+00:00,-121.0
2026-04-08 20:47:00.594800383+00:00,-24.5
2026-04-09 14:00:00.075576123+00:00,133.0
2026-04-09 16:18:00.195151263+00:00,2.5
2026-04-09 20:32:00.081099029+00:00,29.0
2026-04-10 16:09:00.284134353+00:00,-38.5
2026-04-13 14:23:00.107946507+00:00,-66.0
2026-04-13 16:50:00.120221421+00:00,43.5
2026-04-13 19:41:00.334026461+00:00,-14.5
2026-04-13 20:26:00.680564083+00:00,-27.5
2026-04-13 20:45:00.402445739+00:00,-38.0
2026-04-14 13:56:00.093333635+00:00,41.5
2026-04-14 19:16:00.103975141+00:00,81.5
2026-04-14 20:06:00.166911077+00:00,17.5
2026-04-15 14:02:00.143232227+00:00,-99.0
2026-04-15 16:46:00.134854161+00:00,-109.0
2026-04-16 13:56:00.074239619+00:00,-189.5
2026-04-16 14:19:00.081849117+00:00,32.0
2026-04-16 16:49:00.090451077+00:00,133.0
2026-04-17 13:57:00.145708833+00:00,-15.0
2026-04-17 14:36:00.450306877+00:00,75.0
2026-04-20 13:54:00.066832097+00:00,-1.5
2026-04-20 15:12:00.116528483+00:00,-17.5
2026-04-20 20:51:01.199607417+00:00,-41.5
2026-04-21 14:20:00.198170391+00:00,46.5
2026-04-21 15:16:00.071532111+00:00,79.5
2026-04-21 16:50:00.168559381+00:00,-45.5
2026-04-21 19:58:00.065994809+00:00,-8.0
2026-04-21 20:14:00.194468519+00:00,259.5
2026-04-23 17:28:00.081080155+00:00,-63.0
2026-04-23 17:44:00.102225633+00:00,-221.0
2026-04-23 18:01:00.083701807+00:00,273.5
2026-04-24 19:53:00.430189161+00:00,-1.0
2026-04-24 20:41:01.190962571+00:00,23.5
2026-04-27 14:00:00.100973821+00:00,27.0
2026-04-28 14:53:00.068405295+00:00,-52.5
2026-04-28 15:57:00.461770283+00:00,0.5
2026-04-28 16:16:00.088143631+00:00,17.0
2026-04-28 16:41:00.252597867+00:00,-53.5
2026-04-29 20:35:00.160369563+00:00,234.0
2026-04-30 13:55:00.084990721+00:00,-102.0
2026-04-30 14:11:00.086490739+00:00,-71.0
2026-05-01 13:53:00.111387731+00:00,87.5
2026-05-04 15:36:00.101850799+00:00,-80.5
2026-05-04 18:51:00.083713319+00:00,-27.5
2026-05-04 20:28:00.137559121+00:00,39.0
2026-05-04 20:44:00.165628871+00:00,-21.0
2026-05-07 14:33:00.276155333+00:00,50.0
2026-05-07 17:04:00.074464043+00:00,-21.0
2026-05-07 19:41:00.291555815+00:00,165.0
2026-05-11 14:09:00.227427909+00:00,69.0
2026-05-11 14:48:00.294013347+00:00,-188.0
2026-05-11 19:14:00.166486821+00:00,11.0
2026-05-11 19:31:00.490665669+00:00,-26.0
2026-05-11 19:47:00.447117479+00:00,-3.5
2026-05-11 20:09:01.471666761+00:00,-22.0
2026-05-12 13:56:00.139515287+00:00,-94.0
2026-05-12 14:15:00.109834877+00:00,117.5
2026-05-12 14:46:00.122738243+00:00,33.5
2026-05-12 15:06:00.068918821+00:00,-95.0
2026-05-12 15:28:00.082268903+00:00,-203.5
2026-05-12 15:44:00.151802841+00:00,145.0
2026-05-14 14:02:00.164858227+00:00,-81.5
2026-05-14 14:36:00.065985923+00:00,-7.5
2026-05-15 13:53:00.083869539+00:00,94.5
2026-05-15 20:11:00.065732583+00:00,-200.0
2026-05-15 20:27:02.032449345+00:00,94.5
2026-05-18 18:13:00.072051269+00:00,-145.5
2026-05-18 18:29:00.081064345+00:00,-97.5
2026-05-18 18:57:00.420621969+00:00,-12.5
2026-05-18 19:14:00.101593521+00:00,275.0
2026-05-18 19:33:00.140392629+00:00,53.5
2026-05-19 14:21:00.069492461+00:00,-279.0
2026-05-19 14:37:00.093840287+00:00,126.0
2026-05-20 13:53:00.099264521+00:00,106.5
2026-05-20 14:11:00.104584995+00:00,19.0
2026-05-20 20:50:00.149567559+00:00,-27.0
2026-05-21 14:05:00.068713751+00:00,-208.5
2026-05-22 13:54:00.110846973+00:00,-124.0
2026-05-22 20:48:00.530976965+00:00,-14.5
2026-05-25 15:26:00.479634107+00:00,30.5
2026-05-26 13:57:00.080568513+00:00,-153.0
2026-05-26 14:50:00.087547255+00:00,-8.5
2026-05-27 13:52:00.141789811+00:00,-113.5
2026-05-27 14:28:00.070833467+00:00,-225.0
2026-05-27 14:44:00.101205925+00:00,212.0
2026-05-27 15:13:00.074464105+00:00,24.5
2026-05-27 15:30:00.070558565+00:00,-10.0
2026-05-28 13:57:00.101079021+00:00,30.0
2026-05-29 14:40:00.141182933+00:00,-76.0
2026-05-29 14:56:00.098016809+00:00,66.0
2026-05-29 18:17:00.303974997+00:00,54.5
2026-06-01 14:14:00.250478649+00:00,69.0
2026-06-02 13:55:00.184349319+00:00,189.5
2026-06-03 13:58:00.065061711+00:00,-252.5
2026-06-04 14:01:00.086906713+00:00,69.5
2026-06-04 14:21:00.066468431+00:00,166.0
2026-06-05 13:54:00.074740139+00:00,-196.5
2026-06-05 14:17:00.170141921+00:00,216.5
2026-06-05 14:42:00.122666795+00:00,103.0
2026-06-05 14:59:00.124248725+00:00,36.5
2026-06-05 15:24:00.103785479+00:00,115.0
2026-06-05 17:02:00.087036853+00:00,81.5
2026-06-05 17:18:00.438778641+00:00,-86.0
2026-06-05 17:44:00.128744885+00:00,-12.0
2026-06-05 18:01:00.071240341+00:00,74.5
2026-06-05 18:50:00.068034145+00:00,-134.5
2026-06-05 19:06:00.140960609+00:00,118.0
2026-06-05 19:22:00.065673147+00:00,-310.0
2026-06-05 19:38:00.194116855+00:00,231.0
2026-06-05 19:54:00.073529641+00:00,3.0
2026-06-05 20:10:00.070705983+00:00,-426.0
2026-06-05 20:26:00.065053641+00:00,-15.5
2026-06-05 20:49:00.197683237+00:00,-37.5
2026-06-08 14:13:00.163682501+00:00,113.5
2026-06-09 14:15:00.088607871+00:00,-363.0
2026-06-09 14:34:00.229905183+00:00,102.5
2026-06-09 15:00:00.084800853+00:00,-96.0
2026-06-09 15:57:00.070033933+00:00,295.5
2026-06-09 16:41:00.067824197+00:00,613.0
2026-06-09 17:05:00.174662379+00:00,-515.5
2026-06-09 19:34:00.113677601+00:00,185.0
2026-06-10 13:58:00.068456983+00:00,-232.0
2026-06-10 15:25:00.105014125+00:00,-14.5
2026-06-10 17:46:00.107605577+00:00,22.5
2026-06-10 19:39:00.202753425+00:00,247.0
2026-06-10 20:15:00.237084593+00:00,-65.5
2026-06-10 20:31:00.392296159+00:00,79.0
2026-06-11 15:23:00.070541991+00:00,-160.0
2026-06-12 14:07:00.080436187+00:00,396.0
2026-06-16 14:35:00.134722637+00:00,-259.5
2026-06-16 15:25:00.551898729+00:00,142.5
2026-06-16 16:08:00.255052905+00:00,-124.5
2026-06-16 16:24:02.762472745+00:00,-50.5
2026-06-16 17:35:00.504665969+00:00,-25.0
2026-06-16 17:53:00.122583449+00:00,-143.0
2026-06-16 18:14:06.679889341+00:00,-8.0
2026-06-16 18:30:00.242349231+00:00,3.0
2026-06-16 18:46:00.702225791+00:00,6.5
2026-06-16 19:03:02.449710001+00:00,37.5
2026-06-16 19:20:02.035611311+00:00,148.0
2026-06-16 19:59:00.103544895+00:00,86.5
2026-06-16 20:15:04.230148607+00:00,2.0
2026-06-17 17:31:03.356869585+00:00,79.5
2026-06-17 18:41:03.389673709+00:00,-366.0
2026-06-17 20:14:05.928381633+00:00,-92.5
2026-06-17 20:39:04.154821233+00:00,-82.5
2026-06-29 14:20:00.066151949+00:00,-329.5
2026-06-30 14:00:00.065639657+00:00,-307.5
2026-07-01 13:59:00.078012191+00:00,206.5
2026-07-01 19:20:00.096898395+00:00,-35.0
2026-07-02 15:34:00.093953969+00:00,-182.5
2026-07-02 18:19:00.079389801+00:00,-118.0
2026-07-02 20:02:00.071513315+00:00,-201.0
