name,sel_usd_wk,sel_tr_wk,sel_per,bl_usd_wk,bl_tr_wk,bl_per
E_MICRO_t15,3108.0,105.8,29.38,-1460.0,19.2,-75.82
D_FADE_naked_t15,1328.0,99.6,13.34,-2187.0,115.5,-18.93
A_IMB30s_th0.3_R_t15,1152.0,28.0,41.14,-5.0,2.0,-2.5
D_FADE_agree_t15,1130.0,29.8,38.0,-4.0,10.5,-0.33
A_IMB30s_th0.3_R_t5,782.0,30.0,26.07,-5.0,2.0,-2.5
A_IMB30s_th0.3_R_t30,677.0,22.0,30.77,-5.0,2.0,-2.5
A_IMB120s_th0.3_R_t30,578.0,4.0,144.5,0.0,0.0,0.0
D_FADE_oppose_t15,476.0,31.0,15.37,1002.0,12.2,81.79
C_PULL_t5,342.0,7.0,48.83,151.0,5.2,28.83
A_IMB120s_th0.5_F_t30,187.0,2.0,93.5,0.0,0.0,0.0
A_IMB120s_th0.5_F_t15,86.0,2.0,43.0,0.0,0.0,0.0
A_IMB30s_th0.5_F_t30,65.0,6.0,10.83,0.0,0.0,0.0
A_IMB120s_th0.3_R_t5,59.0,4.0,14.75,0.0,0.0,0.0
A_IMB30s_th0.5_R_t15,21.0,6.0,3.5,0.0,0.0,0.0
A_IMB120s_th0.3_F_t15,20.0,4.0,5.0,0.0,0.0,0.0
A_IMB30s_th0.5_F_t5,15.0,6.0,2.5,0.0,0.0,0.0
A_IMB120s_th0.5_R_t5,0.0,2.0,0.0,0.0,0.0,0.0
A_IMB120s_th0.5_F_t5,-10.0,2.0,-5.0,0.0,0.0,0.0
A_IMB120s_th0.3_R_t15,-40.0,4.0,-10.0,0.0,0.0,0.0
A_IMB30s_th0.5_R_t5,-45.0,6.0,-7.5,0.0,0.0,0.0
A_IMB30s_th0.5_F_t15,-51.0,6.0,-8.5,0.0,0.0,0.0
B_WIDER_t15,-75.0,178.9,-0.42,-279.0,131.0,-2.13
A_IMB120s_th0.3_F_t5,-79.0,4.0,-19.75,0.0,0.0,0.0
A_IMB30s_th0.5_R_t30,-95.0,6.0,-15.83,0.0,0.0,0.0
A_IMB120s_th0.5_R_t15,-96.0,2.0,-48.0,0.0,0.0,0.0
C_PULL_t15,-156.0,7.0,-22.22,906.0,5.2,172.5
A_IMB120s_th0.5_R_t30,-197.0,2.0,-98.5,0.0,0.0,0.0
A_IMB120s_th0.3_F_t30,-598.0,4.0,-149.5,0.0,0.0,0.0
B_WIDEF_t5,-727.0,521.1,-1.39,-96.0,378.0,-0.25
A_IMB30s_th0.3_F_t30,-787.0,22.0,-35.77,-5.0,2.0,-2.5
B_WIDEF_t15,-820.0,178.9,-4.58,-376.0,131.0,-2.87
A_IMB30s_th0.3_F_t5,-932.0,30.0,-31.07,-5.0,2.0,-2.5
A_IMB30s_th0.3_F_t15,-1292.0,28.0,-46.14,-5.0,2.0,-2.5
C_PULL_t30,-1426.0,7.0,-203.72,651.0,5.2,124.0
B_WIDER_t5,-1879.0,521.1,-3.61,-1794.0,378.0,-4.75
E_MICRO_t5,-2212.0,279.2,-7.92,-52.0,14.0,-3.71
