name,mar_usd_wk,bl_usd_wk,worst_day,p5_day,worst_wk,pos_wk,tr_wk
BENCH_FADESZ+P,1330.0,2344.0,-2126.0,-794.0,-400.0,82,109.7
A_MOMTRAIL_k10_a1.5_tr8.0,-3490.0,-4178.0,-1786.0,-1362.0,-6010.0,0,718.8
A_MOMTRAIL_k10_a1.5_tr15.0,-2836.0,-4510.0,-2080.0,-1398.0,-7708.0,0,458.5
A_MOMTRAIL_k10_a2.5_tr8.0,-1474.0,-1633.0,-855.0,-606.0,-2546.0,0,335.2
A_MOMTRAIL_k10_a2.5_tr15.0,-1299.0,-1919.0,-886.0,-731.0,-3130.0,0,232.1
A_MOMTRAIL_k30_a1.5_tr8.0,-5347.0,-5829.0,-2532.0,-2003.0,-9458.0,0,663.5
A_MOMTRAIL_k30_a1.5_tr15.0,-4139.0,-5052.0,-3437.0,-2037.0,-9360.0,0,407.4
A_MOMTRAIL_k30_a2.5_tr8.0,-1918.0,-2058.0,-1190.0,-889.0,-3442.0,0,285.1
A_MOMTRAIL_k30_a2.5_tr15.0,-1658.0,-2105.0,-1202.0,-1014.0,-3020.0,0,181.6
B_FLIP_l6.0_fh15,146.0,1216.0,-1949.0,-1117.0,-4096.0,53,116.4
B_FLIP_l6.0_fh30,182.0,1759.0,-1899.0,-1424.0,-3122.0,47,93.8
B_FLIP_l10.0_fh15,311.0,1781.0,-1666.0,-1144.0,-3832.0,53,115.6
B_FLIP_l10.0_fh30,348.0,2751.0,-2048.0,-1442.0,-2842.0,53,94.6
C_TSCALE_0.1-0.3,1330.0,2344.0,-2126.0,-794.0,-400.0,82,109.7
C_TSCALE_0.15-0.4,1330.0,2344.0,-2126.0,-794.0,-400.0,82,109.7
D_FVOL_cap1_top10,1233.0,2203.0,-1165.0,-809.0,-460.0,71,109.7
D_FVOL_skip_top10,1066.0,1835.0,-1165.0,-770.0,-1370.0,71,98.5
E_LTHROTTLE_step1,901.0,1443.0,-2190.0,-642.0,-575.0,82,109.7
E_LTHROTTLE_step2,802.0,1248.0,-2064.0,-600.0,-794.0,82,109.7
