usd_wk,pos_wk,worst_day,p5_day,worst_wk,tr_wk,name
1228.0,76,-1988.0,-844.0,-960.0,112.0,a1.2_123_fv-none_ds0_dis100
574.0,76,-3644.0,-1352.0,-2853.0,101.8,a1.2_123_fv-none_ds0_dis100_qg
1332.0,76,-1877.0,-657.0,-1134.0,119.8,a1.2_123_fv-none_ds0_dis60
851.0,76,-2616.0,-781.0,-2700.0,108.4,a1.2_123_fv-none_ds0_dis60_qg
438.0,59,-934.0,-630.0,-1493.0,80.5,a1.2_123_fv-none_ds-350_dis100
100.0,53,-884.0,-632.0,-1785.0,68.8,a1.2_123_fv-none_ds-350_dis100_qg
566.0,53,-646.0,-586.0,-1856.0,79.9,a1.2_123_fv-none_ds-350_dis60
-23.0,53,-672.0,-619.0,-2094.0,67.2,a1.2_123_fv-none_ds-350_dis60_qg
1155.0,76,-1988.0,-676.0,-1138.0,112.0,a1.2_123_fv-cap1_ds0_dis100
604.0,71,-2516.0,-1312.0,-2418.0,101.9,a1.2_123_fv-cap1_ds0_dis100_qg
1337.0,76,-1877.0,-563.0,-1252.0,119.8,a1.2_123_fv-cap1_ds0_dis60
898.0,76,-2112.0,-839.0,-2507.0,108.1,a1.2_123_fv-cap1_ds0_dis60_qg
578.0,59,-934.0,-630.0,-1428.0,81.4,a1.2_123_fv-cap1_ds-350_dis100
251.0,53,-884.0,-632.0,-1785.0,70.9,a1.2_123_fv-cap1_ds-350_dis100_qg
488.0,53,-646.0,-586.0,-1894.0,81.4,a1.2_123_fv-cap1_ds-350_dis60
17.0,53,-646.0,-614.0,-2146.0,69.2,a1.2_123_fv-cap1_ds-350_dis60_qg
1094.0,76,-2056.0,-698.0,-1612.0,100.3,a1.2_123_fv-skip_ds0_dis100
626.0,59,-1841.0,-1339.0,-2418.0,91.8,a1.2_123_fv-skip_ds0_dis100_qg
1338.0,76,-1944.0,-549.0,-1329.0,106.8,a1.2_123_fv-skip_ds0_dis60
969.0,71,-2110.0,-763.0,-2527.0,96.6,a1.2_123_fv-skip_ds0_dis60_qg
642.0,71,-846.0,-605.0,-1260.0,74.2,a1.2_123_fv-skip_ds-350_dis100
332.0,53,-884.0,-633.0,-1902.0,67.0,a1.2_123_fv-skip_ds-350_dis100_qg
476.0,59,-646.0,-587.0,-1972.0,74.5,a1.2_123_fv-skip_ds-350_dis60
180.0,53,-670.0,-619.0,-2172.0,64.8,a1.2_123_fv-skip_ds-350_dis60_qg
1075.0,82,-1584.0,-587.0,-1069.0,112.0,a1.2_122_fv-none_ds0_dis100
532.0,71,-2405.0,-1078.0,-2532.0,102.0,a1.2_122_fv-none_ds0_dis100_qg
1013.0,76,-1507.0,-704.0,-924.0,119.8,a1.2_122_fv-none_ds0_dis60
422.0,59,-2296.0,-766.0,-2506.0,108.0,a1.2_122_fv-none_ds0_dis60_qg
553.0,59,-934.0,-500.0,-1264.0,81.4,a1.2_122_fv-none_ds-350_dis100
247.0,53,-651.0,-521.0,-2186.0,71.6,a1.2_122_fv-none_ds-350_dis100_qg
570.0,59,-934.0,-498.0,-1241.0,88.2,a1.2_122_fv-none_ds-350_dis60
-130.0,53,-579.0,-495.0,-1423.0,70.5,a1.2_122_fv-none_ds-350_dis60_qg
1023.0,82,-1584.0,-587.0,-1016.0,112.0,a1.2_122_fv-cap1_ds0_dis100
598.0,76,-1438.0,-1035.0,-2050.0,101.9,a1.2_122_fv-cap1_ds0_dis100_qg
993.0,71,-1507.0,-502.0,-853.0,119.8,a1.2_122_fv-cap1_ds0_dis60
472.0,59,-1742.0,-733.0,-2146.0,108.0,a1.2_122_fv-cap1_ds0_dis60_qg
502.0,59,-934.0,-499.0,-1356.0,80.8,a1.2_122_fv-cap1_ds-350_dis100
177.0,53,-651.0,-521.0,-2186.0,71.6,a1.2_122_fv-cap1_ds-350_dis100_qg
517.0,59,-934.0,-498.0,-1138.0,89.2,a1.2_122_fv-cap1_ds-350_dis60
-103.0,53,-579.0,-492.0,-1440.0,72.4,a1.2_122_fv-cap1_ds-350_dis60_qg
