cfg,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_pos,bl_wd
k10_a1.1_h15,452.0,108.4,1176.0,103.5,50,-550.0
k9_a1.3_h18,421.0,88.0,-244.0,84.8,50,-712.0
k10_a1.2_h15,357.0,107.0,1328.0,101.2,75,-387.0
k9_a1.2_h18,314.0,90.4,-1200.0,86.0,25,-1849.0
k9_a1.2_h15,310.0,105.4,1406.0,101.2,100,-540.0
k10_a1.3_h15,272.0,104.0,1575.0,99.0,100,-328.0
k9_a1.3_h15,253.0,102.6,1280.0,98.5,100,-510.0
k9_a1.1_h15,250.0,107.3,1347.0,102.8,100,-584.0
k9_a1.1_h18,220.0,92.0,-983.0,87.2,25,-1849.0
k8_a1.3_h18,212.0,86.0,-91.0,84.5,50,-1015.0
k10_a1.3_h18,210.0,89.8,600.0,85.0,75,-1442.0
k8_a1.2_h15,199.0,103.9,109.0,99.0,50,-793.0
k12_a1.3_h18,147.0,91.0,283.0,86.0,50,-1123.0
k8_a1.1_h15,146.0,106.7,-355.0,102.2,25,-1106.0
k8_a1.2_h18,143.0,88.7,514.0,86.0,100,-814.0
k8_a1.3_h15,138.0,101.0,-157.0,96.8,50,-668.0
k10_a1.1_h18,130.0,92.8,170.0,88.0,50,-1453.0
k9_a1.3_h12,119.0,120.2,1072.0,118.5,50,-606.0
k11_a1.3_h18,103.0,90.0,-80.0,85.5,50,-2244.0
k11_a1.1_h18,97.0,93.7,-120.0,87.8,75,-1810.0
k9_a1.2_h12,83.0,124.6,1027.0,121.2,50,-952.0
k12_a1.2_h12,80.0,128.6,522.0,123.0,50,-697.0
k8_a1.1_h18,77.0,90.6,528.0,86.5,75,-378.0
k12_a1.3_h12,66.0,125.2,519.0,120.8,50,-1178.0
k12_a1.2_h18,29.0,92.1,281.0,87.8,75,-1093.0
k9_a1.1_h12,18.0,127.6,1689.0,123.8,75,-580.0
k12_a1.1_h18,14.0,94.1,305.0,88.5,50,-1093.0
k8_a1.3_h12,-2.0,119.3,468.0,113.0,75,-588.0
k10_a1.2_h18,-24.0,91.7,18.0,87.2,50,-1522.0
k11_a1.3_h12,-31.0,123.8,4.0,118.2,50,-2257.0
k12_a1.1_h12,-60.0,130.4,522.0,125.8,50,-697.0
k10_a1.3_h12,-69.0,123.2,817.0,119.2,50,-795.0
k10_a1.2_h12,-72.0,127.0,1190.0,120.8,50,-865.0
k11_a1.1_h12,-92.0,129.2,709.0,125.0,75,-1345.0
k11_a1.2_h18,-95.0,91.4,-117.0,86.8,75,-2244.0
k11_a1.2_h12,-109.0,126.7,56.0,121.8,75,-2356.0
k11_a1.1_h15,-112.0,108.9,1026.0,102.2,50,-608.0
k10_a1.1_h12,-118.0,129.7,442.0,124.0,50,-886.0
k12_a1.1_h15,-142.0,108.4,1247.0,104.0,100,-975.0
k11_a1.3_h15,-144.0,104.4,1024.0,99.2,25,-460.0
k8_a1.1_h12,-178.0,126.3,-429.0,120.8,25,-2366.0
k11_a1.2_h15,-183.0,107.0,670.0,101.0,25,-547.0
k8_a1.2_h12,-216.0,122.9,-155.0,116.5,50,-1200.0
k12_a1.3_h15,-230.0,104.8,1466.0,101.0,75,-666.0
k12_a1.2_h15,-288.0,106.6,923.0,102.8,100,-855.0
