name,trades,trades_per_day,wr,net,per_day,per_trade,max_dd,worst_day,best_day,sharpe,n_days,pos_d,neg_d,r4_per_day,edge_loss_$/day
INV_pp382_s5t20_imp3,5941,112.1,0.2592,-6815.74,-128.60,-1.147,7003.08,-691.39,609.51,-0.501,52,15,37,2082.90,2211.50
INV_236_s10t20_SCALE5,5728,108.1,0.3673,-12632.98,-238.36,-2.205,13137.74,-1094.67,507.57,-0.754,52,12,40,1444.98,1683.34
INV_236_s10t20_BE3,5774,108.9,0.3637,-13368.58,-252.24,-2.315,13708.85,-1068.64,363.50,-0.832,52,11,41,2150.99,2403.23
CANON_INV_236_s10t20,5747,108.4,0.3647,-13457.89,-253.92,-2.342,13626.58,-1225.00,271.44,-0.818,52,12,40,2651.37,2905.29
INV_236_s10t20_BE2,5774,108.9,0.3644,-13531.69,-255.31,-2.344,13948.18,-1126.83,448.56,-0.825,52,11,41,1962.73,2218.04
INV_pp236_s5t20_imp5,6900,130.2,0.2387,-13543.76,-255.54,-1.963,14019.49,-914.93,394.63,-0.953,52,8,44,2323.61,2579.15
INV_236_s10t20_SCALE3,5752,108.5,0.3623,-13844.36,-261.21,-2.407,13980.17,-1113.76,228.36,-0.877,52,8,44,1065.05,1326.26
INV_pp118_s4t16_imp5,8593,162.1,0.2291,-15209.32,-286.97,-1.770,15369.15,-919.54,271.69,-0.994,52,9,43,3192.65,3479.62
INV_pp118_s4t16_imp3,9396,177.3,0.2338,-15572.13,-293.81,-1.657,15704.85,-818.04,203.80,-1.139,52,8,44,4121.08,4414.89
INV_pp118_s5t20_imp3,8459,159.6,0.2410,-15860.10,-299.25,-1.875,16000.56,-819.75,288.99,-1.115,52,6,46,4460.61,4759.86
INV_pp236_s4t16_imp3,8488,160.2,0.2287,-16044.18,-302.72,-1.890,16107.85,-931.63,168.88,-1.253,52,5,47,2654.43,2957.15
INV_pp236_s5t20_imp3,7683,145.0,0.2391,-16295.84,-307.47,-2.121,16650.26,-1005.11,263.28,-1.006,52,8,44,3066.30,3373.77
INV_pp118_s3t15_imp5,9089,171.5,0.1930,-16450.96,-310.40,-1.810,16546.24,-983.88,125.74,-1.197,52,7,45,2947.42,3257.82
INV_pp118_s5t20_imp5,7861,148.3,0.2343,-16452.71,-310.43,-2.093,16589.28,-920.59,320.69,-1.092,52,8,44,3600.16,3910.59
INV_pp236_s3t15_imp3,9083,171.4,0.1928,-17021.87,-321.17,-1.874,17046.55,-965.09,97.66,-1.386,52,3,49,2363.12,2684.29
INV_pp236_s3t12_imp3,9436,178.0,0.2235,-17264.05,-325.74,-1.830,17352.26,-1005.40,160.33,-1.475,52,3,49,2004.55,2330.29
INV_pp118_s3t15_imp3,10092,190.4,0.1948,-18059.64,-340.75,-1.790,18118.61,-1042.21,62.58,-1.356,52,4,48,3872.84,4213.59
INV_pp236_s3t9_imp3,9862,186.1,0.2703,-18133.46,-342.14,-1.839,18195.76,-786.46,102.27,-1.600,52,3,49,1389.20,1731.34
INV_pp118_s3t12_imp5,9353,176.5,0.2176,-18345.78,-346.15,-1.961,18353.81,-1081.08,11.03,-1.455,52,3,49,2490.49,2836.64
INV_pp118_s3t9_imp5,9638,181.8,0.2648,-18757.86,-353.92,-1.946,18864.25,-804.76,38.00,-1.596,52,2,50,1884.68,2238.60
INV_pp118_s3t9_imp3,10914,205.9,0.2705,-19818.63,-373.94,-1.816,19914.88,-836.51,40.75,-1.713,52,3,49,2600.95,2974.89
INV_pp118_s2t12_imp5,9713,183.3,0.1591,-19897.77,-375.43,-2.049,19925.96,-932.26,10.08,-1.667,52,1,51,2288.78,2664.21
INV_pp118_s3t12_imp3,10505,198.2,0.2194,-20182.47,-380.80,-1.921,20192.48,-1086.77,14.67,-1.538,52,3,49,3356.97,3737.77
INV_pp118_s2t12_imp3,11039,208.3,0.1640,-21386.06,-403.51,-1.937,21428.50,-1016.11,-5.26,-1.745,52,0,52,3122.77,3526.28
INV_pp118_s2t10_imp3,11284,212.9,0.1850,-22316.69,-421.07,-1.978,22344.90,-1121.55,58.83,-1.695,52,4,48,2631.58,3052.65
INV30s_imp3_s4t12,14415,272.0,0.2765,-23330.19,-440.19,-1.618,23365.87,-1167.45,57.28,-1.447,52,4,48,4891.92,5332.11
INV30s_imp3_s3t12,15443,291.4,0.2253,-26131.01,-493.04,-1.692,26188.32,-1131.79,84.89,-1.553,52,6,46,4522.92,5015.96
INV30s_imp3_s3t9,16433,310.1,0.2721,-28965.46,-546.52,-1.763,28972.95,-1277.53,62.27,-1.650,52,3,49,3140.09,3686.61
INV30s_imp3_s2t10,17331,327.0,0.1943,-29802.91,-562.32,-1.720,29807.50,-1143.40,81.67,-1.723,52,3,49,3080.18,3642.50
INV15s_imp2_s4t12,22042,415.9,0.2741,-36032.94,-679.87,-1.635,36299.56,-1432.00,130.22,-1.605,52,5,47,13138.36,13818.23
INV15s_imp2_s3t12,24463,461.6,0.2274,-39519.12,-745.64,-1.615,39787.51,-1695.34,94.75,-1.722,52,5,47,12860.22,13605.86
INV15s_imp2_s3t9,26891,507.4,0.2751,-45439.56,-857.35,-1.690,45586.80,-1698.46,93.96,-1.924,52,2,50,10249.63,11106.98
INV15s_imp2_s2t10,29001,547.2,0.1936,-50315.80,-949.35,-1.735,50348.51,-1999.06,136.60,-1.828,52,3,49,10525.13,11474.48
INV15s_imp2_s2t8,30668,578.6,0.2287,-53437.47,-1008.25,-1.742,53470.07,-1907.46,91.73,-1.966,52,2,50,8089.14,9097.39
