name,trades,trades_per_day,wr,net,per_day,per_trade,max_dd,worst_day,best_day,sharpe,n_days,pos_d,neg_d
E01_CANON_OVR_INV_236,263,18.8,0.4335,845.49,60.39,3.215,343.93,-130.11,250.89,0.570,11,7,4
B05_CANON_winNYO,203,14.5,0.4335,669.14,47.80,3.296,355.55,-193.64,255.97,0.440,11,7,4
B05_CANON_winOVR,264,18.9,0.4167,580.98,41.50,2.201,504.10,-127.36,309.63,0.348,11,7,4
B02_CANON_velmin5,883,63.1,0.4032,578.96,41.35,0.656,555.51,-185.03,232.24,0.357,12,7,5
E01_CANON_NYO_INV_236,207,14.8,0.4203,518.83,37.06,2.506,351.38,-153.20,264.55,0.310,11,6,5
C04_MTF_early_imp4_b3_s8t24_INV,848,60.6,0.3526,409.04,29.22,0.482,1253.24,-370.51,839.08,0.108,13,5,8
E01_CANON_RTH_INV_236,647,46.2,0.3957,358.84,25.63,0.555,568.47,-183.40,214.33,0.235,11,7,4
B05_CANON_winRTH,649,46.4,0.3960,357.29,25.52,0.551,425.64,-175.40,257.31,0.201,11,6,5
B04_CANON_bal_n300_t30,70,5.0,0.4286,192.16,13.73,2.745,151.10,-53.55,68.45,0.396,12,7,5
A01_MTF_atr_a50-99,622,44.4,0.2862,135.61,9.69,0.218,444.87,-184.29,292.24,0.087,13,6,7
E02_CANON_NYO_INV_382_s5t20,158,11.3,0.2722,119.74,8.55,0.758,341.36,-93.39,99.12,0.166,11,7,4
A02_MTF_atrpct_ap70-10000,266,19.0,0.2857,71.50,5.11,0.269,305.61,-106.26,183.80,0.058,12,4,8
E03_MTF_NYO_INV,54,3.9,0.2778,58.95,4.21,1.092,290.92,-80.16,126.54,0.084,11,6,5
E03_MTF_RTH_INV,199,14.2,0.2714,52.15,3.72,0.262,348.88,-154.73,203.95,0.044,11,6,5
E03_MTF_CME_INV,27,1.9,0.3333,43.79,3.13,1.622,145.72,-40.48,52.04,0.127,11,6,5
A06_MTF_winRTH,205,14.6,0.2683,33.32,2.38,0.163,359.66,-180.73,202.48,0.027,11,5,6
B09_CANON_NYO_bal_n200t20,20,1.4,0.4000,29.80,2.13,1.490,114.83,-45.82,76.18,0.082,9,4,5
E02_CANON_CME_INV_382_s5t20,72,5.1,0.3056,27.51,1.97,0.382,170.94,-103.76,94.85,0.039,11,5,6
D16_ULCER_MTF_3-1000,2,0.1,0.5000,25.18,1.80,12.590,12.91,25.18,25.18,0.000,1,1,0
D16_ULCER_MTF_3-15,2,0.1,0.5000,24.04,1.72,12.022,14.05,24.04,24.04,0.000,1,1,0
A06_MTF_winNYO,57,4.1,0.2632,21.88,1.56,0.384,312.96,-79.95,139.45,0.031,11,5,6
D15_ENT_n50_h7_fade,2,0.1,0.5000,7.18,0.51,3.590,8.91,-8.91,16.09,0.203,2,1,1
E03_MTF_OVR_INV,78,5.6,0.2564,6.62,0.47,0.085,354.33,-90.37,151.72,0.008,11,4,7
A03_MTF_spread_tight5,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A03_MTF_spread_tight10,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A03_MTF_spread_tight20,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A04_MTF_maxspread50,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A05_MTF_bal_n500_t50,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A07_MTF_winCME_atr2-6,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A08_MTF_srr_recent60,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A09_MTF_RTH_atr2-6_bal200t20,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A09_MTF_NYO_atr2-6_bal200t20,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
A09_MTF_OVR_atr2-6_bal200t20,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
B06_CANON_maxspread50,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
B07_CANON_tight5,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
B07_CANON_tight10,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
B10_CANON_RTH_atr2-6_bal_n200t20,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
B10_CANON_NYO_atr2-6_bal_n200t20,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
C03_MTF_spreadgate3,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
C03_MTF_spreadgate5,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
C03_MTF_spreadgate10,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
C03_MTF_spreadgate20,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D05_KER_lk40_er70_flw,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D05_KER_lk40_er70_fade,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D10_PS_af2-20_flw,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D10_PS_af2-20_fade,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D10_PS_af1-10_flw,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D10_PS_af1-10_fade,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D10_PS_af3-30_flw,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D10_PS_af3-30_fade,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D15_ENT_n50_h6_flw,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
D15_ENT_n50_h6_fade,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
