name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
KELTBO_1min_time5_all,1min,-771.3,554.1,-217.2,44139,282.7,-721.7,-822.9,-57737.0,-62661.0,41.8
KELTBO_1min_time5_rth,1min,-187.9,157.8,-30.1,12563,80.5,-160.7,-216.3,-12857.0,-16468.0,45.8
KELTBO_1min_time15_all,1min,-474.4,363.2,-111.2,28941,185.3,-461.8,-487.4,-36944.0,-37108.0,44.7
KELTBO_1min_time15_rth,1min,-126.4,106.4,-20.0,8486,54.3,-134.9,-117.4,-10788.0,-8942.0,47.3
KELTBO_1min_time40_all,1min,-270.4,217.2,-53.2,17301,110.8,-251.5,-290.0,-20123.0,-22085.0,46.2
KELTBO_1min_time40_rth,1min,-34.4,68.0,33.6,5421,34.7,73.6,-147.9,5890.0,-11260.0,48.9
KELTBO_1min_trail2.0_all,1min,-1669.9,510.4,-1159.5,40664,260.4,-1458.3,-1891.2,-116666.0,-144001.0,27.1
KELTBO_1min_trail2.0_rth,1min,-548.1,136.0,-412.1,10833,69.4,-468.1,-631.9,-37448.0,-48116.0,31.3
KELTF_1min_time5_all,1min,-619.9,554.1,-65.8,44139,282.7,-681.7,-554.7,-54532.0,-42233.0,46.0
KELTF_1min_time5_rth,1min,-208.1,157.8,-50.3,12563,80.5,-240.2,-174.3,-19216.0,-13268.0,47.8
KELTF_1min_time15_all,1min,-437.8,363.2,-74.6,28941,185.3,-459.1,-415.1,-36729.0,-31609.0,47.7
KELTF_1min_time15_rth,1min,-141.1,106.4,-34.7,8486,54.3,-135.3,-147.0,-10825.0,-11195.0,48.9
KELTF_1min_time40_all,1min,-274.9,217.2,-57.7,17301,110.8,-297.5,-251.0,-23802.0,-19111.0,49.0
KELTF_1min_time40_rth,1min,-136.5,68.0,-68.5,5421,34.7,-245.1,-22.2,-19611.0,-1689.0,48.7
KELTF_1min_trail2.0_all,1min,-1761.3,614.5,-1146.8,48946,313.5,-1526.4,-2007.1,-122114.0,-152826.0,28.6
KELTF_1min_trail2.0_rth,1min,-676.7,172.1,-504.6,13703,87.8,-594.9,-762.2,-47595.0,-58037.0,31.0
BBF_1min_time5_all,1min,-640.1,584.1,-56.0,46528,298.0,-662.6,-616.0,-53008.0,-46907.0,45.5
BBF_1min_time5_rth,1min,-191.7,184.2,-7.5,14677,94.0,-198.2,-184.7,-15855.0,-14067.0,48.6
BBF_1min_time15_all,1min,-426.4,441.4,15.0,35162,225.2,-492.9,-356.3,-39435.0,-27133.0,47.8
BBF_1min_time15_rth,1min,-153.4,141.5,-11.9,11273,72.2,-138.6,-168.9,-11090.0,-12857.0,49.0
BBF_1min_time40_all,1min,-228.3,242.5,14.2,19313,123.7,-304.0,-148.7,-24319.0,-11324.0,49.0
BBF_1min_time40_rth,1min,-49.7,81.1,31.4,6463,41.4,-135.1,40.0,-10804.0,3045.0,49.9
BBF_1min_trail2.0_all,1min,-1784.2,641.9,-1142.3,51133,327.5,-1570.8,-2007.4,-125662.0,-152849.0,28.6
BBF_1min_trail2.0_rth,1min,-680.7,196.2,-484.5,15629,100.1,-616.9,-747.4,-49350.0,-56909.0,31.1
BBR_1min_time5_all,1min,-826.4,584.1,-242.3,46528,298.0,-826.4,-825.9,-66115.0,-62887.0,42.2
