name,trades,trades_per_day,wr,per_day_191,per_day_074,per_day_NQ_191,per_day_NQ_074,per_trade_191,max_dd_191,max_dd_074,sharpe_191,sharpe_074,n_days,pos_d_191,neg_d_191
R8_B04_CANON_bal_n300_t30,291,5.5,0.4124,2.70,9.12,121.37,127.79,0.492,492.64,427.12,0.056,0.189,45,20,25
R8_B04_CANON_bal_n500_t50,75,1.4,0.3733,-1.96,-0.30,4.76,6.42,-1.383,319.07,244.19,-0.074,-0.011,33,13,20
R7_VRP_v1-3_s5t15,337,6.4,0.3709,-10.78,-3.34,1.47,8.91,-1.696,798.66,483.54,-0.295,-0.097,29,11,18
R7_SRR_lk20_sw8_s5t20,151,2.8,0.1722,-12.08,-8.75,-71.82,-68.49,-4.240,689.95,524.74,-0.466,-0.339,35,9,26
R8_B04_CANON_bal_n200_t20,667,12.6,0.3703,-21.41,-6.68,2.26,16.99,-1.701,1605.86,976.40,-0.251,-0.079,51,20,31
R8_E01_CANON_NYO_INV_236,755,14.2,0.3536,-21.84,-5.17,26.47,43.13,-1.533,1814.29,1349.17,-0.223,-0.053,42,15,27
R8_B05_CANON_winOVR,972,18.3,0.3601,-22.52,-1.06,90.06,111.52,-1.228,2203.98,1581.54,-0.198,-0.009,42,15,27
R8_B05_CANON_winNYO,746,14.1,0.3499,-25.03,-8.57,-8.38,8.08,-1.779,2118.28,1657.29,-0.242,-0.083,42,14,28
R8_E01_CANON_OVR_INV_236,954,18.0,0.3553,-25.41,-4.35,55.31,76.37,-1.412,2131.15,1608.11,-0.229,-0.039,42,14,28
R7_MTF_imp6_pp382_s5t20_INV,2501,47.2,0.2591,-53.63,1.58,274.83,330.04,-1.137,2938.01,1101.19,-0.429,0.013,52,14,38
R8_C04_MTF_early_imp4_b3_s8t24_INV,3330,62.8,0.3309,-54.90,18.61,531.05,604.56,-0.874,3017.67,1126.90,-0.237,0.081,52,17,35
R8_E01_CANON_RTH_INV_236,2435,45.9,0.3573,-86.91,-33.16,-79.34,-25.58,-1.892,5495.38,3808.78,-0.487,-0.186,42,14,28
R8_B02_CANON_velmin5,4010,75.7,0.3576,-151.81,-63.28,-217.46,-128.94,-2.006,8574.15,4561.06,-0.503,-0.219,51,16,35
WF_INV_pp382_imp6_s8t20,5933,111.9,0.3384,-207.03,-76.05,-145.96,-14.99,-1.849,11165.22,4372.66,-0.828,-0.324,52,11,41
WF_INV_pp382_imp6_s8t24,5789,109.2,0.3166,-217.90,-90.11,-301.42,-173.62,-1.995,11753.95,5116.54,-0.853,-0.376,52,9,43
WF_INV_pp382_imp6_s6t18,6496,122.6,0.2968,-219.61,-76.20,-89.16,54.24,-1.792,11857.23,4354.47,-0.900,-0.337,52,8,44
WF_INV_pp382_imp6_s5t20,6635,125.2,0.2493,-228.00,-81.53,-128.02,18.45,-1.821,12197.22,4609.31,-0.937,-0.360,52,9,43
R4_INV_pp382_s5t20_imp5,7099,133.9,0.2523,-235.95,-79.24,-57.05,99.67,-1.762,12576.26,4909.59,-0.946,-0.340,52,8,44
WF_CANON_INV_236_s12t20,7020,132.5,0.4083,-258.40,-103.43,-307.14,-152.17,-1.951,14164.90,7678.75,-0.629,-0.260,52,13,39
WF_INV_pp382_imp6_s5t15,6990,131.9,0.2825,-265.36,-111.05,-386.44,-232.13,-2.012,14155.06,6013.03,-1.234,-0.589,52,6,46
WF_INV_pp382_imp6_s8t16,6184,116.7,0.3600,-266.84,-130.32,-662.63,-526.12,-2.287,14316.66,7198.53,-0.988,-0.525,52,8,44
WF_INV_pp236_imp6_s10t20,7133,134.6,0.3733,-267.54,-110.07,-361.85,-204.39,-1.988,14315.47,7045.79,-0.710,-0.307,52,14,38
WF_CANON_INV_236_s10t30,6825,128.8,0.3336,-279.95,-129.28,-585.88,-435.22,-2.174,15118.34,8137.05,-0.716,-0.341,52,9,43
WF_INV_pp382_imp6_s4t12,7594,143.3,0.2792,-281.47,-113.83,-351.64,-184.00,-1.964,15051.25,6264.68,-1.345,-0.650,52,3,49
WF_INV_pp236_imp5_s10t20,7421,140.0,0.3745,-285.09,-121.27,-443.99,-280.17,-2.036,15267.83,7680.25,-0.762,-0.343,52,12,40
WF_INV_pp382_imp6_s3t12,7794,147.1,0.2324,-287.00,-114.95,-342.14,-170.09,-1.952,15353.74,6348.28,-1.449,-0.719,52,3,49
WF_CANON_INV_236_s10t20,7452,140.6,0.3732,-290.01,-125.50,-483.11,-318.61,-2.063,15776.38,8078.61,-0.695,-0.314,52,11,41
R4_INV_pp236_s10t20,7458,140.7,0.3719,-296.86,-132.22,-549.66,-385.02,-2.110,16041.86,8361.12,-0.742,-0.347,52,10,42
WF_CANON_INV_236_s10t25,7055,133.1,0.3477,-300.07,-144.33,-712.47,-556.73,-2.254,16049.36,8496.48,-0.726,-0.363,52,9,43
WF_INV_pp382_imp6_s4t16,7184,135.5,0.2287,-304.32,-145.73,-713.10,-554.51,-2.245,16285.26,7933.89,-1.324,-0.741,52,4,48
WF_INV_pp236_imp6_s8t20,7771,146.6,0.3274,-311.14,-139.59,-590.92,-419.37,-2.122,16749.38,8010.65,-0.859,-0.411,52,10,42
WF_CANON_INV_236_s8t20,8030,151.5,0.3303,-311.69,-134.42,-512.45,-335.18,-2.057,16685.66,7980.49,-0.853,-0.394,52,10,42
WF_CANON_INV_236_s12t24,6724,126.9,0.3806,-312.82,-164.38,-947.34,-798.90,-2.466,17144.20,10229.82,-0.701,-0.381,52,11,41
WF_INV_pp236_imp8_s8t24,6753,127.4,0.2990,-313.54,-164.46,-945.13,-796.05,-2.461,16803.82,9207.29,-0.918,-0.514,52,8,44
R4_INV_pp382_s5t20_imp3,8018,151.3,0.2469,-317.48,-140.48,-574.23,-397.23,-2.099,16912.69,7570.24,-1.255,-0.630,52,5,47
WF_CANON_INV_236_s10t15,8079,152.4,0.4199,-319.68,-141.33,-576.41,-398.06,-2.097,17225.65,8559.22,-0.916,-0.444,52,10,42
WF_INV_pp236_imp5_s8t20,8061,152.1,0.3290,-327.42,-149.47,-659.70,-481.75,-2.153,17509.15,8599.65,-0.884,-0.435,52,9,43
WF_CANON_INV_236_s8t24,7747,146.2,0.3070,-342.91,-171.89,-916.39,-745.37,-2.346,18307.01,9347.20,-0.881,-0.470,52,8,44
WF_CANON_INV_236_s8t16,8557,161.5,0.3608,-344.55,-155.65,-670.17,-481.27,-2.134,18485.69,8906.47,-1.015,-0.510,52,7,45
WF_INV_pp236_imp4_s8t16,8856,167.1,0.3603,-350.77,-155.27,-635.38,-439.88,-2.099,18819.37,9240.87,-1.049,-0.526,52,8,44
WF_INV_pp236_imp6_s8t16,8228,155.2,0.3579,-351.20,-169.56,-843.35,-661.71,-2.262,18880.53,9362.58,-1.060,-0.570,52,8,44
WF_INV_pp236_imp4_s8t20,8325,157.1,0.3260,-355.21,-171.43,-851.94,-668.16,-2.261,18922.90,9598.64,-0.988,-0.522,52,9,43
WF_INV_pp236_imp5_s8t16,8546,161.2,0.3592,-356.32,-167.66,-791.35,-602.70,-2.210,19120.77,9482.17,-1.010,-0.524,52,8,44
R4_INV_pp382_s4t16_imp3,8987,169.6,0.2331,-363.71,-165.32,-722.25,-523.85,-2.145,19383.78,8909.94,-1.476,-0.805,52,2,50
WF_CANON_INV_236_s5t20,9397,177.3,0.2425,-369.25,-161.80,-644.66,-437.21,-2.083,19943.04,9207.78,-1.117,-0.558,52,8,44
R4_INV_pp236_s5t20_imp5,9399,177.3,0.2417,-374.27,-166.78,-694.19,-486.70,-2.110,20120.20,9349.18,-1.094,-0.554,52,10,42
WF_CANON_INV_236_s5t15,10055,189.7,0.2780,-411.00,-189.04,-848.81,-626.84,-2.166,22254.63,10723.27,-1.252,-0.680,52,4,48
R4_INV_pp236_s5t20_imp3,10133,191.2,0.2423,-419.04,-195.34,-903.82,-680.13,-2.192,22362.00,10853.26,-1.175,-0.626,52,8,44
R4_INV_pp118_s4t16_imp5,11711,221.0,0.2364,-424.07,-165.55,-442.38,-183.85,-1.919,22670.15,9487.38,-1.159,-0.533,52,6,46
R4_INV_pp236_s4t16_imp5,10483,197.8,0.2300,-425.79,-194.38,-857.88,-626.46,-2.153,22845.73,10742.97,-1.410,-0.783,52,2,50
R4_INV_pp118_s5t20_imp5,10487,197.9,0.2401,-431.05,-199.54,-909.10,-677.60,-2.178,23046.92,11089.31,-1.203,-0.641,52,3,49
R4_INV_pp118_s4t16_imp3,12656,238.8,0.2386,-442.99,-163.60,-325.04,-45.66,-1.855,23598.22,9551.06,-1.257,-0.552,52,5,47
R4_INV_pp236_s4t16_imp3,11496,216.9,0.2326,-463.01,-209.23,-901.45,-647.67,-2.135,24707.16,11609.48,-1.411,-0.765,52,3,49
