name,mode,imp,W,stop,tgt,htf,n,tr_day,wr,per_day,per_trade,maxDD,sharpe
FADE_i3.0_w3_s8.0_t12.0_htf0,fade,3.0,3,8.0,12.0,0,15552,225.4,38.6,-750.1,-3.33,51797.0,-22.57
FADE_i3.0_w3_s8.0_t12.0_htf30,fade,3.0,3,8.0,12.0,30,8692,126.0,38.2,-453.2,-3.6,31256.0,-21.08
FADE_i3.0_w3_s8.0_t12.0_htf60,fade,3.0,3,8.0,12.0,60,9080,131.6,38.7,-443.4,-3.37,30663.0,-19.54
FADE_i3.0_w3_s8.0_t20.0_htf0,fade,3.0,3,8.0,20.0,0,13390,194.1,31.4,-722.4,-3.72,49878.0,-21.67
FADE_i3.0_w3_s8.0_t20.0_htf30,fade,3.0,3,8.0,20.0,30,8034,116.4,31.9,-432.7,-3.72,29863.0,-18.53
FADE_i3.0_w3_s8.0_t20.0_htf60,fade,3.0,3,8.0,20.0,60,8357,121.1,32.7,-398.0,-3.29,27563.0,-17.55
FADE_i3.0_w3_s8.0_t35.0_htf0,fade,3.0,3,8.0,35.0,0,11855,171.8,27.9,-689.4,-4.01,47800.0,-19.85
FADE_i3.0_w3_s8.0_t35.0_htf30,fade,3.0,3,8.0,35.0,30,7540,109.3,28.8,-424.9,-3.89,29307.0,-18.43
FADE_i3.0_w3_s8.0_t35.0_htf60,fade,3.0,3,8.0,35.0,60,7857,113.9,29.5,-389.6,-3.42,26995.0,-17.46
FADE_i3.0_w3_s8.0_t50.0_htf0,fade,3.0,3,8.0,50.0,0,11272,163.4,27.6,-647.7,-3.96,45060.0,-17.42
FADE_i3.0_w3_s8.0_t50.0_htf30,fade,3.0,3,8.0,50.0,30,7369,106.8,28.1,-428.6,-4.01,29581.0,-16.59
FADE_i3.0_w3_s8.0_t50.0_htf60,fade,3.0,3,8.0,50.0,60,7673,111.2,28.8,-401.4,-3.61,27951.0,-16.47
FADE_i3.0_w3_s12.0_t12.0_htf0,fade,3.0,3,12.0,12.0,0,13245,192.0,47.8,-544.9,-2.84,37645.0,-17.87
FADE_i3.0_w3_s12.0_t12.0_htf30,fade,3.0,3,12.0,12.0,30,7655,110.9,46.5,-381.0,-3.43,26313.0,-17.75
FADE_i3.0_w3_s12.0_t12.0_htf60,fade,3.0,3,12.0,12.0,60,7991,115.8,47.2,-350.5,-3.03,24262.0,-17.6
FADE_i3.0_w3_s12.0_t20.0_htf0,fade,3.0,3,12.0,20.0,0,11253,163.1,40.5,-463.2,-2.84,32035.0,-14.76
FADE_i3.0_w3_s12.0_t20.0_htf30,fade,3.0,3,12.0,20.0,30,6995,101.4,39.4,-375.8,-3.71,25985.0,-15.23
FADE_i3.0_w3_s12.0_t20.0_htf60,fade,3.0,3,12.0,20.0,60,7267,105.3,40.4,-308.9,-2.93,21378.0,-14.57
FADE_i3.0_w3_s12.0_t35.0_htf0,fade,3.0,3,12.0,35.0,0,9832,142.5,36.6,-401.2,-2.82,27758.0,-12.56
FADE_i3.0_w3_s12.0_t35.0_htf30,fade,3.0,3,12.0,35.0,30,6527,94.6,35.8,-363.1,-3.84,25136.0,-15.32
FADE_i3.0_w3_s12.0_t35.0_htf60,fade,3.0,3,12.0,35.0,60,6768,98.1,36.7,-303.4,-3.09,20936.0,-14.45
FADE_i3.0_w3_s12.0_t50.0_htf0,fade,3.0,3,12.0,50.0,0,9323,135.1,36.0,-387.7,-2.87,26928.0,-12.34
FADE_i3.0_w3_s12.0_t50.0_htf30,fade,3.0,3,12.0,50.0,30,6348,92.0,35.0,-358.0,-3.89,24850.0,-13.72
FADE_i3.0_w3_s12.0_t50.0_htf60,fade,3.0,3,12.0,50.0,60,6580,95.4,36.0,-296.3,-3.11,20596.0,-13.49
FADE_i3.0_w3_s18.0_t12.0_htf0,fade,3.0,3,18.0,12.0,0,11462,166.1,55.0,-394.6,-2.38,27281.0,-15.13
FADE_i3.0_w3_s18.0_t12.0_htf30,fade,3.0,3,18.0,12.0,30,6827,98.9,53.8,-266.6,-2.69,18435.0,-13.91
FADE_i3.0_w3_s18.0_t12.0_htf60,fade,3.0,3,18.0,12.0,60,7053,102.2,54.4,-238.2,-2.33,16540.0,-12.57
FADE_i3.0_w3_s18.0_t20.0_htf0,fade,3.0,3,18.0,20.0,0,9621,139.4,46.9,-364.1,-2.61,25266.0,-10.73
FADE_i3.0_w3_s18.0_t20.0_htf30,fade,3.0,3,18.0,20.0,30,6195,89.8,46.4,-269.5,-3.0,18657.0,-11.16
FADE_i3.0_w3_s18.0_t20.0_htf60,fade,3.0,3,18.0,20.0,60,6402,92.8,47.7,-196.6,-2.12,13609.0,-9.27
FADE_i3.0_w3_s18.0_t35.0_htf0,fade,3.0,3,18.0,35.0,0,8404,121.8,43.1,-273.3,-2.24,19038.0,-10.74
FADE_i3.0_w3_s18.0_t35.0_htf30,fade,3.0,3,18.0,35.0,30,5766,83.6,42.8,-246.7,-2.95,17005.0,-10.63
FADE_i3.0_w3_s18.0_t35.0_htf60,fade,3.0,3,18.0,35.0,60,5941,86.1,43.5,-191.2,-2.22,13519.0,-9.21
FADE_i3.0_w3_s18.0_t50.0_htf0,fade,3.0,3,18.0,50.0,0,7979,115.6,42.4,-245.2,-2.12,17237.0,-10.06
FADE_i3.0_w3_s18.0_t50.0_htf30,fade,3.0,3,18.0,50.0,30,5601,81.2,41.7,-248.7,-3.06,17158.0,-10.47
FADE_i3.0_w3_s18.0_t50.0_htf60,fade,3.0,3,18.0,50.0,60,5769,83.6,42.6,-183.9,-2.2,13464.0,-8.96
FADE_i3.0_w3_s25.0_t12.0_htf0,fade,3.0,3,25.0,12.0,0,10312,149.4,58.9,-294.3,-1.97,20303.0,-11.25
