name,imp,W,pull,stop,tgt,htf,n,tr_day,per_day,maxDD,sharpe,worst_block,trend_pd,chop_pd,blocks
i2.0_w3_p0.118_s5.0_t20.0_htf0,2.0,3,0.118,5.0,20.0,0,11790,170.9,346.1,3942.0,6.08,-144.4,368.8,335.4,"[np.float64(696.7), np.float64(-144.4), np.float64(-48.9), np.float64(2.4), np.float64(1129.3), np.float64(355.1)]"
i2.0_w3_p0.118_s5.0_t20.0_htf20,2.0,3,0.118,5.0,20.0,20,8448,122.4,176.1,2208.0,6.1,-70.1,265.3,134.4,"[np.float64(222.7), np.float64(-70.1), np.float64(-0.2), np.float64(67.9), np.float64(675.4), np.float64(122.7)]"
i2.0_w3_p0.118_s5.0_t20.0_htf40,2.0,3,0.118,5.0,20.0,40,8963,129.9,106.4,4788.0,3.16,-113.9,172.9,75.3,"[np.float64(59.0), np.float64(-113.9), np.float64(-56.5), np.float64(-30.3), np.float64(656.4), np.float64(94.5)]"
i2.0_w3_p0.118_s5.0_t30.0_htf0,2.0,3,0.118,5.0,30.0,0,11339,164.3,506.3,3029.0,6.91,-103.7,399.9,556.1,"[np.float64(991.6), np.float64(-103.7), np.float64(47.6), np.float64(211.8), np.float64(1495.6), np.float64(286.1)]"
i2.0_w3_p0.118_s5.0_t30.0_htf20,2.0,3,0.118,5.0,30.0,20,8233,119.3,158.6,3188.0,5.04,-103.3,185.8,145.9,"[np.float64(226.1), np.float64(-103.3), np.float64(6.9), np.float64(59.4), np.float64(680.4), np.float64(47.6)]"
i2.0_w3_p0.118_s5.0_t30.0_htf40,2.0,3,0.118,5.0,30.0,40,8776,127.2,93.3,6093.0,2.61,-155.2,139.2,71.9,"[np.float64(47.3), np.float64(-155.2), np.float64(-42.4), np.float64(-20.1), np.float64(688.6), np.float64(16.7)]"
i2.0_w3_p0.118_s5.0_t44.0_htf0,2.0,3,0.118,5.0,44.0,0,10856,157.3,571.3,3175.0,7.73,-43.8,310.9,693.3,"[np.float64(836.3), np.float64(-43.8), np.float64(94.9), np.float64(433.4), np.float64(1534.6), np.float64(465.9)]"
i2.0_w3_p0.118_s5.0_t44.0_htf20,2.0,3,0.118,5.0,44.0,20,8086,117.2,107.5,4294.0,3.41,-164.6,94.6,113.5,"[np.float64(151.9), np.float64(-164.6), np.float64(20.6), np.float64(131.5), np.float64(530.2), np.float64(-40.7)]"
i2.0_w3_p0.118_s5.0_t44.0_htf40,2.0,3,0.118,5.0,44.0,40,8616,124.9,56.3,7294.0,1.58,-240.1,74.6,47.7,"[np.float64(-46.6), np.float64(-240.1), np.float64(-13.3), np.float64(47.9), np.float64(575.9), np.float64(3.6)]"
i2.0_w3_p0.118_s8.0_t20.0_htf0,2.0,3,0.118,8.0,20.0,0,11480,166.4,176.9,7063.0,3.79,-208.2,201.6,165.3,"[np.float64(320.0), np.float64(-208.2), np.float64(-27.1), np.float64(-179.0), np.float64(843.7), np.float64(252.9)]"
i2.0_w3_p0.118_s8.0_t20.0_htf20,2.0,3,0.118,8.0,20.0,20,8062,116.8,121.9,3625.0,4.24,-88.6,220.8,75.6,"[np.float64(127.1), np.float64(-88.6), np.float64(0.5), np.float64(12.4), np.float64(578.2), np.float64(72.1)]"
i2.0_w3_p0.118_s8.0_t20.0_htf40,2.0,3,0.118,8.0,20.0,40,8573,124.2,61.6,6596.0,1.87,-156.2,126.8,31.0,"[np.float64(-26.3), np.float64(-156.2), np.float64(-109.8), np.float64(-25.6), np.float64(626.0), np.float64(43.9)]"
i2.0_w3_p0.118_s8.0_t30.0_htf0,2.0,3,0.118,8.0,30.0,0,11015,159.6,304.1,5018.0,5.45,-119.5,226.6,340.4,"[np.float64(328.8), np.float64(-119.5), np.float64(75.7), np.float64(15.9), np.float64(1192.7), np.float64(256.4)]"
i2.0_w3_p0.118_s8.0_t30.0_htf20,2.0,3,0.118,8.0,30.0,20,7796,113.0,107.3,5135.0,3.32,-129.2,137.6,93.0,"[np.float64(130.5), np.float64(-129.2), np.float64(-8.8), np.float64(39.8), np.float64(549.5), np.float64(38.4)]"
i2.0_w3_p0.118_s8.0_t30.0_htf40,2.0,3,0.118,8.0,30.0,40,8328,120.7,30.5,8518.0,0.87,-205.4,80.4,7.2,"[np.float64(-73.7), np.float64(-205.4), np.float64(-81.6), np.float64(-27.6), np.float64(618.9), np.float64(-57.3)]"
i2.0_w3_p0.118_s8.0_t44.0_htf0,2.0,3,0.118,8.0,44.0,0,10516,152.4,320.9,4815.0,5.66,-103.1,182.8,385.6,"[np.float64(331.0), np.float64(-103.1), np.float64(160.5), np.float64(7.6), np.float64(1127.2), np.float64(322.6)]"
i2.0_w3_p0.118_s8.0_t44.0_htf20,2.0,3,0.118,8.0,44.0,20,7619,110.4,62.7,5836.0,1.99,-164.1,54.3,66.6,"[np.float64(80.3), np.float64(-164.1), np.float64(-5.9), np.float64(63.6), np.float64(392.0), np.float64(-0.2)]"
