name,imp,W,pull,stop,tgt,invert,cooldown,max_hold,max_wait,min_leg,n,tr_day,wr,tgt%,stop%,to%,net,per_day,per_trade,maxDD,train_per_day,train_n,test_per_day,test_n,test_wr,test_maxDD
i2.0_w3_p0.118_s5.0_t44.0_INV_cd30_mh600_mw300_ml0.0,2.0,3,0.118,5.0,44.0,True,30,600,300,0.0,11114,161.1,30.6,10.1,67.2,22.6,71337.0,1033.9,6.42,550.0,806.6,7317,1514.9,3797,27.8,321.0
i2.0_w3_p0.118_s5.0_t44.0_INV_cd60_mh600_mw300_ml0.0,2.0,3,0.118,5.0,44.0,True,60,600,300,0.0,10857,157.3,30.9,10.0,67.0,23.0,70983.0,1028.7,6.54,503.0,756.8,7074,1614.2,3783,28.7,336.0
i2.0_w4_p0.118_s5.0_t36.0_INV_cd60_mh600_mw300_ml0.0,2.0,4,0.118,5.0,36.0,True,60,600,300,0.0,11112,161.0,31.9,13.8,66.1,20.1,70598.0,1023.2,6.35,722.0,794.9,7303,1507.1,3809,30.0,480.0
i2.0_w4_p0.118_s5.0_t30.0_INV_cd60_mh600_mw300_ml0.0,2.0,4,0.118,5.0,30.0,True,60,600,300,0.0,11293,163.7,33.2,17.5,64.9,17.6,68922.0,998.9,6.1,676.0,793.8,7486,1429.9,3807,31.8,396.0
i2.0_w4_p0.118_s5.0_t44.0_INV_cd60_mh600_mw300_ml0.0,2.0,4,0.118,5.0,44.0,True,60,600,300,0.0,10886,157.8,30.8,9.9,67.2,23.0,68903.0,998.6,6.33,940.0,771.6,7099,1480.7,3787,28.1,504.0
i3.0_w3_p0.118_s5.0_t44.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.118,5.0,44.0,True,60,600,300,0.0,10667,154.6,30.7,10.0,67.4,22.6,67878.0,983.7,6.36,778.0,741.0,6938,1503.2,3729,28.5,364.0
i2.0_w3_p0.118_s5.0_t36.0_INV_cd60_mh600_mw300_ml0.0,2.0,3,0.118,5.0,36.0,True,60,600,300,0.0,11119,161.1,31.4,13.6,66.5,19.9,67872.0,983.7,6.1,503.0,703.9,7311,1589.5,3808,30.2,372.0
i2.0_w4_p0.118_s5.0_t44.0_INV_cd30_mh600_mw300_ml0.0,2.0,4,0.118,5.0,44.0,True,30,600,300,0.0,11103,160.9,30.4,9.8,67.4,22.8,67763.0,982.1,6.1,1011.0,734.6,7331,1512.6,3772,28.0,376.0
i3.0_w4_p0.118_s5.0_t44.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.118,5.0,44.0,True,60,600,300,0.0,10750,155.8,30.5,9.8,67.5,22.7,67630.0,980.1,6.29,857.0,762.0,7000,1442.5,3750,27.9,452.0
i3.0_w3_p0.118_s5.0_t44.0_INV_cd30_mh600_mw300_ml0.0,3.0,3,0.118,5.0,44.0,True,30,600,300,0.0,10928,158.4,30.1,9.9,67.8,22.3,67580.0,979.4,6.18,638.0,753.2,7170,1460.6,3758,27.8,334.0
i2.0_w3_p0.118_s5.0_t36.0_INV_cd30_mh600_mw300_ml0.0,2.0,3,0.118,5.0,36.0,True,30,600,300,0.0,11372,164.8,31.2,13.3,66.8,19.8,67244.0,974.6,5.91,509.0,740.6,7542,1474.2,3830,29.4,330.0
i2.0_w3_p0.118_s5.0_t30.0_INV_cd60_mh600_mw300_ml0.0,2.0,3,0.118,5.0,30.0,True,60,600,300,0.0,11342,164.4,32.8,17.4,65.3,17.3,67216.0,974.2,5.93,489.0,727.3,7510,1503.8,3832,32.3,365.0
i2.0_w4_p0.118_s5.0_t36.0_INV_cd30_mh600_mw300_ml0.0,2.0,4,0.118,5.0,36.0,True,30,600,300,0.0,11357,164.6,31.2,13.2,66.7,20.1,66576.0,964.9,5.86,904.0,744.3,7561,1433.5,3796,29.5,397.0
i3.0_w4_p0.118_s5.0_t36.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.118,5.0,36.0,True,60,600,300,0.0,10982,159.2,31.4,13.4,66.7,19.9,66491.0,963.6,6.05,724.0,745.8,7205,1426.0,3777,29.6,446.0
i2.0_w4_p0.118_s5.0_t30.0_INV_cd30_mh600_mw300_ml0.0,2.0,4,0.118,5.0,30.0,True,30,600,300,0.0,11547,167.3,32.6,17.0,65.4,17.6,66232.0,959.9,5.74,717.0,739.3,7734,1429.0,3813,31.7,350.0
i2.0_w4_p0.118_s6.0_t44.0_INV_cd60_mh600_mw300_ml0.0,2.0,4,0.118,6.0,44.0,True,60,600,300,0.0,10713,155.3,32.7,10.6,64.2,25.1,66064.0,957.4,6.17,1057.0,743.3,6963,1411.6,3750,29.7,496.0
i2.0_w3_p0.118_s5.0_t30.0_INV_cd30_mh600_mw300_ml0.0,2.0,3,0.118,5.0,30.0,True,30,600,300,0.0,11569,167.7,32.4,17.2,65.7,17.1,65932.0,955.5,5.7,621.0,722.7,7720,1453.3,3849,31.7,312.0
