name,imp,W,pull,stop,tgt,htf,n,tr_day,wr,to%,net,per_day,per_trade,maxDD,worst_month,months
i2.0_w3_p0.118_s5.0_t24.0_htf0,2.0,3,0.118,5.0,24.0,0,11573,167.7,34.0,14.2,28565.0,414.0,2.47,3032.0,95.0,"{'2025-12': 372.0, '2026-01': 95.0, '2026-02': 793.0}"
i2.0_w3_p0.118_s5.0_t24.0_htf30,2.0,3,0.118,5.0,24.0,30,8698,126.1,32.4,16.1,8050.0,116.7,0.93,4898.0,-25.0,"{'2025-12': -25.0, '2026-01': -13.0, '2026-02': 369.0}"
i2.0_w3_p0.118_s5.0_t24.0_htf60,2.0,3,0.118,5.0,24.0,60,8950,129.7,32.6,16.0,9679.0,140.3,1.08,4241.0,-15.0,"{'2025-12': -15.0, '2026-01': 7.0, '2026-02': 408.0}"
i2.0_w3_p0.118_s5.0_t40.0_htf0,2.0,3,0.118,5.0,40.0,0,10983,159.2,30.3,21.2,38025.0,551.1,3.46,3917.0,268.0,"{'2025-12': 346.0, '2026-01': 268.0, '2026-02': 1020.0}"
i2.0_w3_p0.118_s5.0_t40.0_htf30,2.0,3,0.118,5.0,40.0,30,8491,123.1,28.0,22.3,4911.0,71.2,0.58,7238.0,-122.0,"{'2025-12': -122.0, '2026-01': -4.0, '2026-02': 305.0}"
i2.0_w3_p0.118_s5.0_t40.0_htf60,2.0,3,0.118,5.0,40.0,60,8728,126.5,28.1,22.2,5863.0,85.0,0.67,6301.0,-158.0,"{'2025-12': -158.0, '2026-01': 7.0, '2026-02': 361.0}"
i2.0_w3_p0.118_s5.0_t60.0_htf0,2.0,3,0.118,5.0,60.0,0,10498,152.1,30.2,27.1,44440.0,644.1,4.23,3132.0,322.0,"{'2025-12': 442.0, '2026-01': 322.0, '2026-02': 1153.0}"
i2.0_w3_p0.118_s5.0_t60.0_htf30,2.0,3,0.118,5.0,60.0,30,8379,121.4,26.6,25.7,1404.0,20.3,0.17,8342.0,-132.0,"{'2025-12': -132.0, '2026-01': -36.0, '2026-02': 201.0}"
i2.0_w3_p0.118_s5.0_t60.0_htf60,2.0,3,0.118,5.0,60.0,60,8635,125.1,26.6,25.6,2992.0,43.4,0.35,6967.0,-181.0,"{'2025-12': -181.0, '2026-01': 8.0, '2026-02': 260.0}"
i2.0_w3_p0.118_s8.0_t24.0_htf0,2.0,3,0.118,8.0,24.0,0,11245,163.0,38.5,19.2,15156.0,219.6,1.35,5062.0,-1.0,"{'2025-12': 67.0, '2026-01': -1.0, '2026-02': 579.0}"
i2.0_w3_p0.118_s8.0_t24.0_htf30,2.0,3,0.118,8.0,24.0,30,8293,120.2,38.5,22.8,4868.0,70.5,0.59,6979.0,-86.0,"{'2025-12': -58.0, '2026-01': -86.0, '2026-02': 342.0}"
i2.0_w3_p0.118_s8.0_t24.0_htf60,2.0,3,0.118,8.0,24.0,60,8516,123.4,38.6,22.4,5310.0,77.0,0.62,6257.0,-80.0,"{'2025-12': -80.0, '2026-01': -58.0, '2026-02': 347.0}"
i2.0_w3_p0.118_s8.0_t40.0_htf0,2.0,3,0.118,8.0,40.0,0,10633,154.1,34.3,27.5,20623.0,298.9,1.94,5435.0,19.0,"{'2025-12': 19.0, '2026-01': 94.0, '2026-02': 742.0}"
i2.0_w3_p0.118_s8.0_t40.0_htf30,2.0,3,0.118,8.0,40.0,30,8046,116.6,33.8,30.3,1355.0,19.6,0.17,9558.0,-148.0,"{'2025-12': -148.0, '2026-01': -93.0, '2026-02': 273.0}"
i2.0_w3_p0.118_s8.0_t40.0_htf60,2.0,3,0.118,8.0,40.0,60,8236,119.4,33.5,30.2,-375.0,-5.4,-0.05,9486.0,-231.0,"{'2025-12': -231.0, '2026-01': -80.0, '2026-02': 254.0}"
i2.0_w3_p0.118_s8.0_t60.0_htf0,2.0,3,0.118,8.0,60.0,0,10125,146.7,34.0,33.9,30795.0,446.3,3.04,4265.0,171.0,"{'2025-12': 196.0, '2026-01': 171.0, '2026-02': 943.0}"
i2.0_w3_p0.118_s8.0_t60.0_htf30,2.0,3,0.118,8.0,60.0,30,7909,114.6,32.1,34.3,-2920.0,-42.3,-0.37,10732.0,-159.0,"{'2025-12': -159.0, '2026-01': -120.0, '2026-02': 133.0}"
i2.0_w3_p0.118_s8.0_t60.0_htf60,2.0,3,0.118,8.0,60.0,60,8130,117.8,31.8,34.1,-4821.0,-69.9,-0.59,10678.0,-295.0,"{'2025-12': -295.0, '2026-01': -89.0, '2026-02': 129.0}"
i2.0_w3_p0.118_s10.0_t24.0_htf0,2.0,3,0.118,10.0,24.0,0,11064,160.3,40.9,22.3,7956.0,115.3,0.72,6692.0,-156.0,"{'2025-12': -156.0, '2026-01': -44.0, '2026-02': 503.0}"
i2.0_w3_p0.118_s10.0_t24.0_htf30,2.0,3,0.118,10.0,24.0,30,8053,116.7,41.2,27.1,1733.0,25.1,0.22,7579.0,-118.0,"{'2025-12': -69.0, '2026-01': -118.0, '2026-02': 255.0}"
i2.0_w3_p0.118_s10.0_t24.0_htf60,2.0,3,0.118,10.0,24.0,60,8265,119.8,41.4,26.5,3067.0,44.4,0.37,6639.0,-112.0,"{'2025-12': -112.0, '2026-01': -69.0, '2026-02': 291.0}"
i2.0_w3_p0.118_s10.0_t40.0_htf0,2.0,3,0.118,10.0,40.0,0,10404,150.8,36.8,30.9,15218.0,220.6,1.46,6348.0,-61.0,"{'2025-12': -61.0, '2026-01': 28.0, '2026-02': 652.0}"
i2.0_w3_p0.118_s10.0_t40.0_htf30,2.0,3,0.118,10.0,40.0,30,7772,112.6,36.2,35.3,-2381.0,-34.5,-0.31,9998.0,-150.0,"{'2025-12': -150.0, '2026-01': -136.0, '2026-02': 167.0}"
i2.0_w3_p0.118_s10.0_t40.0_htf60,2.0,3,0.118,10.0,40.0,60,7979,115.6,36.0,35.1,-4030.0,-58.4,-0.51,9859.0,-268.0,"{'2025-12': -268.0, '2026-01': -90.0, '2026-02': 142.0}"
i2.0_w3_p0.118_s10.0_t60.0_htf0,2.0,3,0.118,10.0,60.0,0,9847,142.7,35.9,38.0,20801.0,301.5,2.11,5802.0,65.0,"{'2025-12': 65.0, '2026-01': 67.0, '2026-02': 743.0}"
i2.0_w3_p0.118_s10.0_t60.0_htf30,2.0,3,0.118,10.0,60.0,30,7640,110.7,34.4,39.6,-7528.0,-109.1,-0.99,12447.0,-199.0,"{'2025-12': -199.0, '2026-01': -188.0, '2026-02': 47.0}"
i2.0_w3_p0.118_s10.0_t60.0_htf60,2.0,3,0.118,10.0,60.0,60,7858,113.9,34.2,39.1,-8630.0,-125.1,-1.1,11943.0,-351.0,"{'2025-12': -351.0, '2026-01': -110.0, '2026-02': 38.0}"
i2.0_w3_p0.118_s14.0_t24.0_htf0,2.0,3,0.118,14.0,24.0,0,10669,154.6,44.2,27.6,-4156.0,-60.2,-0.39,11792.0,-334.0,"{'2025-12': -334.0, '2026-01': -170.0, '2026-02': 275.0}"
i2.0_w3_p0.118_s14.0_t24.0_htf30,2.0,3,0.118,14.0,24.0,30,7668,111.1,46.0,34.2,1605.0,23.3,0.21,6258.0,-74.0,"{'2025-12': -74.0, '2026-01': -73.0, '2026-02': 205.0}"
i2.0_w3_p0.118_s14.0_t24.0_htf60,2.0,3,0.118,14.0,24.0,60,7831,113.5,46.8,34.1,5454.0,79.0,0.7,5588.0,-140.0,"{'2025-12': -140.0, '2026-01': -26.0, '2026-02': 367.0}"
i2.0_w3_p0.118_s14.0_t40.0_htf0,2.0,3,0.118,14.0,40.0,0,9989,144.8,39.0,37.9,-3964.0,-57.4,-0.4,11286.0,-413.0,"{'2025-12': -413.0, '2026-01': -63.0, '2026-02': 230.0}"
i2.0_w3_p0.118_s14.0_t40.0_htf30,2.0,3,0.118,14.0,40.0,30,7323,106.1,40.9,44.2,-3002.0,-43.5,-0.41,10179.0,-209.0,"{'2025-12': -209.0, '2026-01': -107.0, '2026-02': 156.0}"
i2.0_w3_p0.118_s14.0_t40.0_htf60,2.0,3,0.118,14.0,40.0,60,7458,108.1,40.9,44.4,-3778.0,-54.7,-0.51,9424.0,-327.0,"{'2025-12': -327.0, '2026-01': -54.0, '2026-02': 160.0}"
i2.0_w3_p0.118_s14.0_t60.0_htf0,2.0,3,0.118,14.0,60.0,0,9424,136.6,38.7,45.4,7909.0,114.6,0.84,7552.0,-251.0,"{'2025-12': -251.0, '2026-01': 31.0, '2026-02': 495.0}"
i2.0_w3_p0.118_s14.0_t60.0_htf30,2.0,3,0.118,14.0,60.0,30,7161,103.8,38.9,49.3,-9003.0,-130.5,-1.26,12140.0,-238.0,"{'2025-12': -238.0, '2026-01': -153.0, '2026-02': -21.0}"
i2.0_w3_p0.118_s14.0_t60.0_htf60,2.0,3,0.118,14.0,60.0,60,7316,106.0,38.8,49.3,-9276.0,-134.4,-1.27,12138.0,-399.0,"{'2025-12': -399.0, '2026-01': -96.0, '2026-02': 33.0}"
