name,imp,W,pull,stop,tgt,invert,cooldown,max_hold,max_wait,min_leg,n,tr_day,wr,tgt%,stop%,to%,net,per_day,per_trade,maxDD,train_per_day,train_n,test_per_day,test_n,test_wr,test_maxDD
i3.0_w3_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.236,6.0,30.0,True,60,600,300,0.0,10835,157.0,32.1,16.4,65.1,18.5,43200.0,626.1,3.99,1105.0,470.4,7062,959.5,3773,30.2,420.0
i3.0_w5_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.236,6.0,30.0,True,60,600,300,0.0,10757,155.9,31.9,15.5,65.3,19.3,38284.0,554.8,3.56,909.0,397.9,7030,894.7,3727,30.2,561.0
i3.0_w5_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.236,6.0,24.0,True,60,600,300,0.0,10982,159.2,34.1,20.7,63.2,16.1,38016.0,551.0,3.46,729.0,383.7,7255,914.9,3727,33.8,551.0
i3.0_w3_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.236,6.0,24.0,True,60,600,300,0.0,11073,160.5,33.7,21.0,63.7,15.4,37779.0,547.5,3.41,973.0,388.2,7273,893.2,3800,33.3,324.0
i5.0_w3_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,5.0,3,0.236,6.0,30.0,True,60,600,300,0.0,10319,149.6,30.6,16.3,67.0,16.7,36622.0,530.8,3.55,1205.0,416.1,6645,773.1,3674,28.9,542.0
i3.0_w4_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.236,6.0,30.0,True,60,600,300,0.0,10780,156.2,31.5,15.3,65.7,19.0,36418.0,527.8,3.38,810.0,392.2,7072,819.1,3708,29.3,797.0
i3.0_w4_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.236,6.0,24.0,True,60,600,300,0.0,11028,159.8,33.3,20.3,64.0,15.6,34367.0,498.1,3.12,997.0,344.1,7299,833.7,3729,32.7,599.0
i5.0_w5_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,5.0,5,0.236,6.0,30.0,True,60,600,300,0.0,10327,149.7,30.9,15.6,66.5,17.8,34216.0,495.9,3.31,1198.0,347.2,6692,819.2,3635,29.6,527.0
i3.0_w5_p0.236_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.236,6.0,18.0,True,60,600,300,0.0,11256,163.1,37.3,27.7,60.3,12.0,32213.0,466.9,2.86,713.0,307.7,7515,816.0,3741,38.7,387.0
i5.0_w4_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.236,6.0,30.0,True,60,600,300,0.0,10335,149.8,30.4,15.4,67.1,17.5,31953.0,463.1,3.09,1464.0,332.4,6715,745.9,3620,28.7,1464.0
i5.0_w3_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,5.0,3,0.236,6.0,24.0,True,60,600,300,0.0,10564,153.1,32.3,20.9,65.6,13.4,31824.0,461.2,3.01,967.0,339.8,6849,722.5,3715,31.7,391.0
i5.0_w5_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,5.0,5,0.236,6.0,24.0,True,60,600,300,0.0,10563,153.1,32.7,20.5,64.9,14.6,31457.0,455.9,2.98,1124.0,298.9,6906,800.4,3657,32.7,715.0
i7.0_w5_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,7.0,5,0.236,6.0,30.0,True,60,600,300,0.0,9819,142.3,29.9,16.1,67.9,16.1,31433.0,455.5,3.2,1221.0,303.0,6264,789.8,3555,29.3,671.0
i7.0_w3_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,7.0,3,0.236,6.0,30.0,True,60,600,300,0.0,9568,138.7,29.1,16.5,69.1,14.4,31313.0,453.8,3.27,1099.0,342.9,6042,691.1,3526,27.9,433.0
i5.0_w4_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.236,6.0,24.0,True,60,600,300,0.0,10530,152.6,32.5,20.3,65.1,14.5,31180.0,451.9,2.96,962.0,295.5,6882,795.4,3648,32.3,418.0
i7.0_w4_p0.236_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,7.0,4,0.236,6.0,30.0,True,60,600,300,0.0,9716,140.8,29.8,15.9,68.4,15.7,30307.0,439.2,3.12,830.0,325.0,6201,685.0,3515,28.3,606.0
i3.0_w5_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.236,8.0,30.0,True,60,600,300,0.0,10521,152.5,35.3,16.7,59.5,23.7,29990.0,434.6,2.85,997.0,277.5,6834,780.6,3687,34.0,626.0
i3.0_w3_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.236,8.0,30.0,True,60,600,300,0.0,10620,153.9,34.8,17.2,60.3,22.4,29839.0,432.5,2.81,1432.0,307.6,6882,703.2,3738,32.8,856.0
i3.0_w3_p0.236_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.236,6.0,18.0,True,60,600,300,0.0,11391,165.1,36.5,27.2,61.3,11.5,29208.0,423.3,2.56,914.0,307.5,7569,673.4,3822,36.7,420.0
i3.0_w4_p0.236_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.236,6.0,18.0,True,60,600,300,0.0,11316,164.0,36.5,27.0,61.0,12.0,28806.0,417.5,2.55,1024.0,286.1,7571,704.2,3745,37.2,429.0
i5.0_w3_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,5.0,3,0.236,8.0,30.0,True,60,600,300,0.0,10117,146.6,34.2,17.7,61.9,20.5,28795.0,417.3,2.85,1336.0,310.9,6477,645.8,3640,32.5,649.0
i7.0_w3_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,7.0,3,0.236,6.0,24.0,True,60,600,300,0.0,9828,142.4,31.1,21.6,67.2,11.2,28542.0,413.7,2.9,886.0,313.5,6247,627.7,3581,30.5,353.0
i5.0_w5_p0.236_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,5.0,5,0.236,6.0,18.0,True,60,600,300,0.0,10833,157.0,36.4,27.7,61.4,10.9,28525.0,413.4,2.63,1005.0,255.3,7139,762.6,3694,38.1,304.0
i3.0_w3_p0.236_s8.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.236,8.0,24.0,True,60,600,300,0.0,10874,157.6,37.0,22.5,58.3,19.2,28481.0,412.8,2.62,1526.0,263.5,7072,741.5,3802,36.7,520.0
i7.0_w5_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,7.0,5,0.236,6.0,24.0,True,60,600,300,0.0,10028,145.3,31.8,20.9,66.1,13.0,28404.0,411.6,2.83,1167.0,262.6,6450,739.9,3578,32.2,622.0
i3.0_w5_p0.236_s8.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.236,8.0,24.0,True,60,600,300,0.0,10780,156.2,37.2,22.3,58.0,19.7,27632.0,400.5,2.56,1285.0,244.6,7065,745.0,3715,36.7,749.0
i3.0_w4_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.236,8.0,30.0,True,60,600,300,0.0,10553,152.9,34.8,16.9,60.4,22.7,27517.0,398.8,2.61,1281.0,270.1,6873,680.0,3680,32.9,812.0
i3.0_w3_p0.382_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.382,6.0,30.0,True,60,600,300,0.0,10340,149.9,30.7,14.2,66.2,19.6,27516.0,398.8,2.66,2079.0,273.5,6684,672.1,3656,28.7,563.0
i3.0_w4_p0.382_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.382,6.0,30.0,True,60,600,300,0.0,10231,148.3,31.1,13.9,65.7,20.3,27352.0,396.4,2.67,1567.0,302.9,6656,595.7,3575,28.5,681.0
i7.0_w4_p0.236_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,7.0,4,0.236,6.0,24.0,True,60,600,300,0.0,9909,143.6,31.6,20.6,66.7,12.7,26798.0,388.4,2.7,893.0,258.6,6358,672.8,3551,31.2,421.0
i3.0_w4_p0.236_s8.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.236,8.0,24.0,True,60,600,300,0.0,10813,156.7,36.9,22.1,58.5,19.3,26202.0,379.7,2.42,1643.0,228.2,7085,715.2,3728,36.5,672.0
i3.0_w5_p0.382_s6.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.382,6.0,30.0,True,60,600,300,0.0,10014,145.1,31.2,13.9,65.7,20.4,25964.0,376.3,2.59,1778.0,256.6,6503,637.7,3511,29.3,720.0
i7.0_w5_p0.236_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,7.0,5,0.236,6.0,18.0,True,60,600,300,0.0,10285,149.1,35.7,28.0,62.5,9.5,25895.0,375.3,2.52,970.0,226.6,6676,704.4,3609,37.5,407.0
i3.0_w3_p0.382_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.382,6.0,24.0,True,60,600,300,0.0,10594,153.5,32.3,19.0,64.8,16.2,25706.0,372.5,2.43,1957.0,266.6,6900,602.1,3694,30.8,736.0
i5.0_w5_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,5.0,5,0.236,8.0,30.0,True,60,600,300,0.0,10095,146.3,34.0,16.9,61.2,21.9,25399.0,368.1,2.52,1571.0,216.0,6495,705.4,3600,33.2,810.0
i5.0_w3_p0.236_s8.0_t24.0_INV_cd60_mh600_mw300_ml0.0,5.0,3,0.236,8.0,24.0,True,60,600,300,0.0,10376,150.4,36.1,23.0,60.2,16.8,25107.0,363.9,2.42,1200.0,237.3,6677,642.0,3699,35.8,557.0
i3.0_w4_p0.382_s6.0_t24.0_INV_cd60_mh600_mw300_ml0.0,3.0,4,0.382,6.0,24.0,True,60,600,300,0.0,10459,151.6,32.6,18.6,64.4,17.0,24951.0,361.6,2.39,1698.0,275.6,6858,545.1,3601,30.8,528.0
i5.0_w4_p0.236_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.236,6.0,18.0,True,60,600,300,0.0,10798,156.5,35.6,27.0,62.2,10.8,24879.0,360.6,2.3,1063.0,235.0,7133,636.3,3665,36.4,429.0
i5.0_w3_p0.236_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,5.0,3,0.236,6.0,18.0,True,60,600,300,0.0,10850,157.2,35.3,27.3,62.8,9.9,24670.0,357.5,2.27,1052.0,263.1,7093,560.9,3757,35.5,418.0
i7.0_w4_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,7.0,4,0.236,8.0,30.0,True,60,600,300,0.0,9495,137.6,33.6,17.8,63.0,19.2,24622.0,356.8,2.59,1420.0,255.7,5999,575.8,3496,32.2,1039.0
i7.0_w3_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,7.0,3,0.236,8.0,30.0,True,60,600,300,0.0,9361,135.7,33.1,18.1,63.6,18.3,24557.0,355.9,2.62,1250.0,246.5,5877,594.2,3484,32.1,841.0
i3.0_w5_p0.236_s8.0_t18.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.236,8.0,18.0,True,60,600,300,0.0,11064,160.3,41.0,29.9,54.8,15.3,24366.0,353.1,2.2,1069.0,199.7,7324,694.2,3740,42.2,683.0
i5.0_w4_p0.236_s8.0_t24.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.236,8.0,24.0,True,60,600,300,0.0,10328,149.7,36.3,22.4,59.5,18.1,23985.0,347.6,2.32,1774.0,196.7,6693,683.0,3635,36.2,711.0
i5.0_w4_p0.236_s8.0_t30.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.236,8.0,30.0,True,60,600,300,0.0,10104,146.4,33.8,17.1,61.9,21.1,23839.0,345.5,2.36,1590.0,216.4,6519,630.2,3585,32.6,1329.0
i5.0_w3_p0.236_s10.0_t30.0_INV_cd60_mh600_mw300_ml0.0,5.0,3,0.236,10.0,30.0,True,60,600,300,0.0,9939,144.0,37.3,19.4,56.7,23.9,23796.0,344.9,2.39,1540.0,239.6,6303,574.1,3636,35.8,1007.0
i3.0_w3_p0.236_s10.0_t30.0_INV_cd60_mh600_mw300_ml0.0,3.0,3,0.236,10.0,30.0,True,60,600,300,0.0,10419,151.0,37.5,18.7,55.5,25.8,23796.0,344.9,2.28,1398.0,232.4,6696,591.0,3723,35.8,1056.0
