n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
140069,149.3,41.1,-393.2,-2.63,368784.0,-15.06,-628.9,13,0,FADE_imp5w3_s10.0t15.0,imp
120934,128.9,35.9,-345.3,-2.68,323944.0,-13.16,-592.3,13,0,FADE_imp5w3_s10.0t25.0,imp
110145,117.4,34.0,-325.0,-2.77,304988.0,-11.88,-560.1,13,0,FADE_imp5w3_s10.0t40.0,imp
120382,128.3,48.4,-297.6,-2.32,279137.0,-12.49,-477.9,13,0,FADE_imp5w3_s15.0t15.0,imp
103569,110.4,42.5,-275.9,-2.5,258822.0,-10.86,-517.5,13,0,FADE_imp5w3_s15.0t25.0,imp
94376,100.6,40.4,-247.1,-2.46,231830.0,-9.46,-467.2,13,0,FADE_imp5w3_s15.0t40.0,imp
109435,116.7,52.2,-250.7,-2.15,235187.0,-10.48,-446.2,13,0,FADE_imp5w3_s20.0t15.0,imp
94250,100.5,46.3,-225.9,-2.25,212011.0,-8.77,-490.1,13,0,FADE_imp5w3_s20.0t25.0,imp
86237,91.9,43.9,-212.4,-2.31,199649.0,-8.24,-420.0,13,0,FADE_imp5w3_s20.0t40.0,imp
146813,156.5,41.1,-417.9,-2.67,391960.0,-16.07,-646.9,13,0,FADE_imp5w5_s10.0t15.0,imp
126940,135.3,35.9,-373.9,-2.76,351070.0,-14.4,-593.2,13,0,FADE_imp5w5_s10.0t25.0,imp
116113,123.8,34.3,-338.8,-2.74,318594.0,-12.53,-612.9,13,0,FADE_imp5w5_s10.0t40.0,imp
126009,134.3,48.0,-322.8,-2.4,302737.0,-12.95,-550.6,13,0,FADE_imp5w5_s15.0t15.0,imp
108858,116.1,42.5,-281.1,-2.42,263741.0,-10.96,-557.8,13,0,FADE_imp5w5_s15.0t25.0,imp
99546,106.1,40.3,-261.7,-2.47,245620.0,-10.07,-455.5,13,0,FADE_imp5w5_s15.0t40.0,imp
114452,122.0,51.6,-278.3,-2.28,261109.0,-11.39,-472.0,13,0,FADE_imp5w5_s20.0t15.0,imp
99118,105.7,46.0,-235.1,-2.22,220488.0,-9.24,-390.6,13,0,FADE_imp5w5_s20.0t25.0,imp
91042,97.1,43.8,-211.7,-2.18,198867.0,-8.22,-373.1,13,0,FADE_imp5w5_s20.0t40.0,imp
115004,122.7,40.7,-330.7,-2.69,310004.0,-13.22,-536.9,13,0,FADE_imp8w3_s10.0t15.0,imp
99062,105.7,34.3,-308.5,-2.92,289581.0,-12.13,-535.7,13,0,FADE_imp8w3_s10.0t25.0,imp
89360,95.4,32.2,-268.0,-2.81,251694.0,-10.47,-510.2,13,0,FADE_imp8w3_s10.0t40.0,imp
99768,106.5,48.7,-248.9,-2.34,233323.0,-10.99,-434.7,13,0,FADE_imp8w3_s15.0t15.0,imp
85083,90.8,41.9,-231.4,-2.55,217083.0,-9.5,-466.1,13,0,FADE_imp8w3_s15.0t25.0,imp
76545,81.7,39.3,-213.0,-2.61,200299.0,-8.37,-405.0,13,0,FADE_imp8w3_s15.0t40.0,imp
90302,96.4,53.0,-211.6,-2.2,198712.0,-9.28,-387.3,13,0,FADE_imp8w3_s20.0t15.0,imp
77037,82.2,46.1,-197.9,-2.41,185716.0,-8.01,-425.2,13,0,FADE_imp8w3_s20.0t25.0,imp
69448,74.1,43.3,-171.9,-2.32,161783.0,-6.73,-387.5,13,0,FADE_imp8w3_s20.0t40.0,imp
125990,134.5,40.9,-360.1,-2.68,337490.0,-14.23,-660.6,13,0,FADE_imp8w5_s10.0t15.0,imp
108507,115.8,35.1,-323.1,-2.79,303007.0,-12.7,-572.1,13,0,FADE_imp8w5_s10.0t25.0,imp
98334,104.9,33.0,-291.8,-2.78,273855.0,-11.22,-550.7,13,0,FADE_imp8w5_s10.0t40.0,imp
108382,115.7,48.4,-275.0,-2.38,257876.0,-11.65,-561.4,13,0,FADE_imp8w5_s15.0t15.0,imp
92866,99.1,42.1,-243.9,-2.46,228904.0,-9.9,-471.1,13,0,FADE_imp8w5_s15.0t25.0,imp
83915,89.6,39.7,-217.5,-2.43,204460.0,-8.78,-448.5,13,0,FADE_imp8w5_s15.0t40.0,imp
98092,104.7,52.6,-230.0,-2.2,215929.0,-9.33,-425.3,13,0,FADE_imp8w5_s20.0t15.0,imp
83837,89.5,46.3,-200.9,-2.25,188309.0,-8.16,-393.7,13,0,FADE_imp8w5_s20.0t25.0,imp
76062,81.2,43.6,-174.3,-2.15,163508.0,-6.97,-369.1,13,0,FADE_imp8w5_s20.0t40.0,imp
84226,91.3,39.9,-257.5,-2.82,237653.0,-11.9,-459.1,13,0,FADE_imp12w3_s10.0t15.0,imp
73641,79.8,32.5,-239.8,-3.01,221417.0,-10.45,-486.5,13,0,FADE_imp12w3_s10.0t25.0,imp
66049,71.6,29.5,-218.1,-3.05,201683.0,-9.26,-456.7,13,0,FADE_imp12w3_s10.0t40.0,imp
75236,81.5,48.9,-195.8,-2.4,180758.0,-9.52,-383.5,13,0,FADE_imp12w3_s15.0t15.0,imp
64551,69.9,41.0,-177.2,-2.53,163719.0,-7.87,-399.1,13,0,FADE_imp12w3_s15.0t25.0,imp
57317,62.1,37.6,-165.1,-2.66,152931.0,-7.28,-341.8,13,0,FADE_imp12w3_s15.0t40.0,imp
68602,74.3,54.0,-163.3,-2.2,150921.0,-7.95,-322.5,13,0,FADE_imp12w3_s20.0t15.0,imp
58464,63.3,46.0,-156.8,-2.48,144996.0,-6.63,-334.3,13,0,FADE_imp12w3_s20.0t25.0,imp
