n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
99387,106.0,41.4,-265.1,-2.5,248704.0,-10.38,-465.3,13,0,FADE5w3_S15.0T30.0,imp
81165,86.6,40.5,-228.0,-2.63,213849.0,-9.26,-478.0,13,0,FADE8w3_S15.0T30.0,imp
47841,51.0,43.2,-106.6,-2.09,100012.0,-7.5,-192.6,13,0,ZFADE20z2.0_S15.0T30.0,zs
38196,40.8,42.5,-90.0,-2.21,84561.0,-6.76,-165.3,13,0,ZFADE60z2.0_S15.0T30.0,zs
8726,9.5,42.1,-22.1,-2.33,20400.0,-3.37,-44.2,13,0,ZFADE60z3.0_S15.0T30.0,zs
99194,105.8,40.1,-273.1,-2.58,256987.0,-10.68,-474.6,13,0,MOM5w3_S15.0T30.0,imp
81090,86.5,39.3,-245.2,-2.83,230476.0,-9.71,-503.2,13,0,MOM8w3_S15.0T30.0,imp
45448,48.5,40.6,-124.5,-2.57,117222.0,-9.29,-167.6,13,0,ZMOM20z2.0_S15.0T30.0,zs
34634,37.0,39.9,-93.8,-2.54,88276.0,-7.42,-139.6,13,0,ZMOM60z2.0_S15.0T30.0,zs
8031,8.7,38.5,-26.3,-3.01,24465.0,-4.29,-46.7,13,1,ZMOM60z3.0_S15.0T30.0,zs
35565,38.0,42.6,-85.9,-2.26,80754.0,-7.67,-154.0,13,0,MA9x30_S15.0T30.0,ma
19181,20.7,42.4,-43.9,-2.12,41111.0,-5.33,-74.7,13,0,MA20x60_S15.0T30.0,ma
100509,107.2,40.5,-265.7,-2.48,249417.0,-11.62,-420.1,13,0,TF60b5.0_S15.0T30.0,tf
94298,100.5,40.5,-239.2,-2.38,224628.0,-10.91,-367.1,13,0,TF120b8.0_S15.0T30.0,tf
86237,91.9,43.9,-212.4,-2.31,199649.0,-8.24,-420.0,13,0,FADE5w3_S20.0T40.0,imp
69448,74.1,43.3,-171.9,-2.32,161783.0,-6.73,-387.5,13,0,FADE8w3_S20.0T40.0,imp
45298,48.3,45.0,-93.8,-1.94,87998.0,-6.11,-156.8,13,0,ZFADE20z2.0_S20.0T40.0,zs
34749,37.1,44.6,-68.9,-1.86,64733.0,-4.74,-123.1,13,0,ZFADE60z2.0_S20.0T40.0,zs
8231,8.9,44.4,-17.6,-1.97,16539.0,-2.4,-33.1,13,1,ZFADE60z3.0_S20.0T40.0,zs
85904,91.6,42.6,-203.7,-2.22,191878.0,-7.59,-427.1,13,0,MOM5w3_S20.0T40.0,imp
69109,73.8,42.2,-174.9,-2.37,164842.0,-6.43,-399.8,13,0,MOM8w3_S20.0T40.0,imp
43509,46.4,42.4,-103.6,-2.23,97756.0,-6.96,-144.4,13,0,ZMOM20z2.0_S20.0T40.0,zs
32067,34.2,41.7,-76.5,-2.24,72193.0,-5.82,-123.4,13,0,ZMOM60z2.0_S20.0T40.0,zs
7588,8.2,40.5,-22.2,-2.69,20793.0,-3.26,-45.4,13,0,ZMOM60z3.0_S20.0T40.0,zs
34655,37.0,44.0,-78.7,-2.13,73922.0,-6.5,-158.9,13,0,MA9x30_S20.0T40.0,ma
19025,20.6,44.1,-36.5,-1.77,34422.0,-4.11,-66.8,13,0,MA20x60_S20.0T40.0,ma
88967,94.8,42.6,-202.3,-2.13,190170.0,-8.89,-332.4,13,0,TF60b5.0_S20.0T40.0,tf
83122,88.6,42.9,-176.5,-1.99,165830.0,-8.04,-252.3,13,0,TF120b8.0_S20.0T40.0,tf
82718,88.2,43.3,-210.8,-2.39,198075.0,-8.01,-393.4,13,0,FADE5w3_S20.0T60.0,imp
